¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.510681
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.643614
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.621205
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.656818
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.33033
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.30834
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44753
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12386
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87784
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4326
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05471
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.73534
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51463
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.99946
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.19713
(395.98, 13.93, 247.88) (391.25, 9.05, 278.19) (1.16, 1.75, 0.90) Tools 21.12552
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.51787
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.864174
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048481
ß(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.244842
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455379
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.209769
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.186487
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.164295
(395.98, 13.93, 247.88) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 6.143175
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.784317
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10881
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.454457
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.438942
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.414506
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.39146
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.346686
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.410875
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.02925
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.00799
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48216
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16243
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91332
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43283
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98837
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66284
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99998
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.90296
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08808
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.85864
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.07278
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.868064
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.053224
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.249924
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460873
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687558
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.931813
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.195676
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.481626
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792444
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.11961
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.225834
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.200792
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.177118
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.154794
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.117735
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.209568
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.746647
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.726072
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51773
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19848
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95005
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49014
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95903
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5927
Ö(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51529
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80757
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98265
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.64253
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.63728
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.871971
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.058077
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.255149
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466449
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.69356
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938271
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.202682
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.489215
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.800668
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.131918
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.001168
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.976877
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.953916
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.845627
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.900867
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.502357
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.480914
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.40498
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55443
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23245
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98803
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54952
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02242
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52944
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25205
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62862
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.88083
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.43341
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.22054
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.876002
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.063034
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260442
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.4721
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.699655
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94487
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.209807
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49695
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.809089
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.814493
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.789592
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.766004
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.74371
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.64292
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.695192
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.251443
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.230638
É(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.15843
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58759
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26749
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02728
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6111
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08809
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59973
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18025
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28113
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.74426
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23092
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82562
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.81904
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.880067
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.068057
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.265816
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477929
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705898
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951591
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217082
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504787
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.817679
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.614228
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.590022
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.567094
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.609327
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.45037
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.597049
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.014752
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.994545
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.924607
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62012
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3037
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0678
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67479
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15613
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67252
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22786
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72896
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.5518
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99972
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.494
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.36728
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.884196
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.073197
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.271302
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.483798
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.71219
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.958396
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224466
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.512804
à(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.449878
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.42506
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.401507
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.3792
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.222034
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.267273
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.81221
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.791157
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.642409
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.702584
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68368
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34103
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10961
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74073
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22654
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74793
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.30874
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2103
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36534
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.76414
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.17494
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.93533
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.888377
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078395
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276875
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489786
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718661
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965341
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231952
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.473706
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.270297
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.246125
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.223188
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.201467
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.050036
(395.98, 13.93, 247.88) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.092984
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.60013
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.57964
(395.98, 13.93, 247.88) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 9.434315
(395.98, 13.93, 247.88) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 11.28075
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76039
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38448
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15273
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80897
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29942
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82591
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39249
(395.98, 13.93, 247.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28463
