¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’ (418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.146949
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.134911
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.141056
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.147986
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.155705
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.174521
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.207179
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.241038
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.276133
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.316558
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.387097
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.460361
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.536481
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.671916
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.828687
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.255
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39623
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72289
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19796
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71891
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29256
(418.20, 13.33, 327.60) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 14.84242
(418.20, 13.33, 327.60) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 14.85502
(418.20, 13.33, 327.60) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 14.86986
(418.20, 13.33, 327.60) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 14.88695
 (418.20, 13.33, 327.60) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 15.33569
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.56436
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.59253
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.62342
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.201228
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.181923
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.163531
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.16744
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.173791
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.180932
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.188869
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.20302
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.236132
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.270461
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.306038
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.342904
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.412182
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.486197
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.563105
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.688267
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.84599
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27547
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41727
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58164
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04378
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54997
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10665
(418.20, 13.33, 327.60) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 15.42077
(418.20, 13.33, 327.60) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 14.98257
(418.20, 13.33, 327.60) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 14.9782
(418.20, 13.33, 327.60) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 15.46777
(418.20, 13.33, 327.60) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 15.48814
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.73924
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.76798
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.79947
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.240667
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.221242
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.202734
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.201071
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.207636
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.214996
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.22316
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.232465
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.266051
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.300867
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.336948
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.374332
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.438106
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.512902
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.59063
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.705237
 (418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.86395
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.218558
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43969
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58779
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89482
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3869
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92741
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80212
(418.20, 13.33, 327.60) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 14.91682
(418.20, 13.33, 327.60) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 14.91245
(418.20, 13.33, 327.60) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 14.91032
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.89378
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.92034
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.94967
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.98179
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.28149
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.26194
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.243315
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.235832
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.24262
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.250213
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.258612
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.267826
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.296957
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.332281
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.368886
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.40681
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.46489
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.540495
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.619075
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.722833
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.882577
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.181912
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46354
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61233
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76704
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22946
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75461
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4696
(418.20, 13.33, 327.60) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 14.85385
(418.20, 13.33, 327.60) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 14.84948
(418.20, 13.33, 327.60) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 15.35712
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.08076
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.10791
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.13786
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.17062
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.32374
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.304062
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.285316
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.271753
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.278777
Œ (418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.28661
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.295256
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.304725
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.328876
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.364728
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.401878
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.440363
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.492548
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.568997
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.648458
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.741066
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.901882
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.145664
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48886
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63836
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79386
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07741
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58793
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14968
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.65565
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.57596
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.49931
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.46762
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.30221
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.3328
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.36625
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.367466
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.347655
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.328783
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.310832
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.316139
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.324223
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.333127
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.342862
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.361832
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.398233
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.435949
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.475018
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.5211
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.598422
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.678802
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.762395
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.92187
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.109812
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51556
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6659
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82224
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98493
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42705
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9728
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.41668
Ÿ (418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.41228
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.41004
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.40995
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.41201
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.53478
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.56893
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.412716
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.392769
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.373767
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.355695
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.354742
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.363087
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.372263
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.382273
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.395852
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.432825
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.471129
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.510807
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.551898
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.628795
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.710126
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.794721
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.942553
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 6.116049
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5437
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69491
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85219
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01579
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27178
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80227
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.37315
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.38901
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.40706
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.42731
(418.20, 13.33, 327.60) (406.32, 10.23, 300.11) (0.61, 0.87, 0.61) Tools 14.44978
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.459543
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.439455
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.420319
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.402122
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.39462
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.403241
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.412698
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.422999
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.434152
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.46853
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.507448
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.547757
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.589502
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.660135
