¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.5766
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.34208
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.33729
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.33539
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.33638
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988017
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.20472
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.438693
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.684083
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.938907
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.212893
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.521038
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.860003
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.232923
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.63908
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.088535
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.602847
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17886
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83133
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.59529
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.48124
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48325
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70864
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.22155
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19442
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.46378
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.34398
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.32183
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.3026
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.28629
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.27289
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.26237
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.25474
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.24999
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.2481
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.2491
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.984761
¯(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.201209
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.434896
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.67952
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.933955
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.207521
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.515849
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.854312
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.226789
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.632286
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.081499
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.594977
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16984
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.821
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58248
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.46522
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46415
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.68288
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.18473
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.14472
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.40149
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.25985
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.2378
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.21866
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.20243
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.18909
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.17863
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.17103
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.16631
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.16444
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.16544
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.981478
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.197669
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.431067
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.674956
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929047
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.2022
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.510664
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.848632
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.220662
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.62553
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.074469
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.587107
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16083
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81062
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.5696
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.44921
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44508
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.657
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.14781
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.09516
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33954
é(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.17929
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.15734
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.1383
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.12214
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.10886
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.09845
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.0909
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.0862
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.08435
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.08534
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.97817
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.194101
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427162
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.670398
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.924184
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.196927
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.505481
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.842967
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.21454
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.618818
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.067446
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.579232
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15183
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80018
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.55665
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43318
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42606
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.63099
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.11079
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04585
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27791
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.10225
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.0804
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.06144
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.04535
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.03213
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.02177
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.01425
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.00958
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.00774
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.00874
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.974837
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.190508
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422951
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.665844
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.919368
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.191705
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.500305
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.837316
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.208425
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.612146
ë(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.06043
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.571358
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14283
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7897
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.54363
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.41716
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.40708
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.60488
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.07369
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.99679
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.21657
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.02866
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.00689
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.98802
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.972
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.95883
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.94852
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.94104
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.93638
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.93456
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.93557
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.971479
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.186889
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418744
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.661294
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914599
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.186534
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.495133
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.831681
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.202316
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.605516
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.053422
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.563483
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13383
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77917
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53068
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40114
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.38814
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57866
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.03651
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.94795
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.15561
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.95846
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.93678
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.91797
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.90202
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.88891
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.87864
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.87119
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.86656
(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.86475
·(325.19, 7.53, 366.43) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.86576
(325.19, 7.53, 366.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.968099
