¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¿(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.09824
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63799
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0023
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40764
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84581
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.28367
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.25789
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.23405
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.22013
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.68319
(321.28, 7.25, 368.92) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 14.98221
(321.28, 7.25, 368.92) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 14.9494
(321.28, 7.25, 368.92) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 14.91895
(321.28, 7.25, 368.92) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 14.89085
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.98686
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.02742
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.42258
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.48032
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.49589
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.51926
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.55096
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.209699
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.471055
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.753279
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058932
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.382724
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.742596
²(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.1362
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.568346
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04351
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33084
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64853
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02617
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43341
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8737
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.42499
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.39892
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.3748
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.35261
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.69829
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82756
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 23.33457
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 23.25772
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 23.39048
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.12897
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.30639
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.33048
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.35688
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.47639
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.59946
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.212499
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.474102
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756574
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.062502
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.389796
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.750319
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.14465
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577669
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04298
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33029
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67141
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05081
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45989
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90667
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.5715
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.54513
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.52073
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.49828
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.71321
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.85757
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.92799
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.45695
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.44613
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.43883
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.96112
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.91019
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.78748
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.90385
¦(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.02496
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.15093
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215312
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.477143
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759847
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.066031
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.396845
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758013
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.15309
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.586961
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04303
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3406
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69487
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07605
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48715
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97013
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7054
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.69674
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.67205
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.64933
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.76475
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.88725
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.32233
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.25286
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.18724
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.05028
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.999
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.35128
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.47343
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.60049
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.62463
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.218057
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.480066
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.763042
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06953
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.402475
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.765488
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.161441
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.596167
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04368
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36311
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71904
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10203
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51517
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0341
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69549
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.854
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.82901
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.80602
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.90232
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.9166
¯(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.68489
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.66515
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.64896
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.14362
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.09198
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.56739
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.6988
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220763
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48302
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.766248
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.07297
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.406237
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.769572
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.167169
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.604023
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05304
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38618
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74384
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12869
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54393
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.079
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68612
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 13.01718
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.99187
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.96859
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 13.04454
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.94559
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.44274
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.47063
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.45454
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.38495
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.43292
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.42737
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.42906
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.43766
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.44997
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.60691
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.223463
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.485915
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.769356
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.076354
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.409935
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.773617
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171591
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.608901
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05409
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39299
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75722
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14961
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57345
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07094
ª(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67722
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 13.18654
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 13.1609
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 13.13733
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 13.1916
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.97424
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.66423
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.40124
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.38746
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.39251
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.298
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.29245
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.29388
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.30235
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.31432
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.32977
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.2261
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48876
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.772452
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.079714
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413569
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.777591
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.175941
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.613688
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05496
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39394
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75821
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15069
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57469
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11838
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70658
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35688
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 13.33642
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 13.31253
(321.28, 7.25, 368.92) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 13.3437
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00253
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.93034
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.918
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.90908
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.12606
(321.28, 7.25, 368.92) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.13433
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228733
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.491582
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.77548
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083022
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.417143
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.78153
(321.28, 7.25, 368.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.180255
