¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.6518
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.69874
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.682297
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.666794
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.652215
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.63855
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.625791
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.681768
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.10807
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.524741
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.551033
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.189535
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.66436
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.439785
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.434083
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.429204
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.425142
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.421895
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.41946
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.417835
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.41702
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.417013
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.417816
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.020357
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.988983
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.9589
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.930001
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.902602
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.881155
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.860736
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.84339
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.829695
å(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.716952
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.700458
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.684904
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.67028
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.656572
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.643771
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.668676
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.092913
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.545602
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.534571
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.166389
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.67686
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.457173
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.451453
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.446558
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.442482
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.439225
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.436782
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.435153
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.434335
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.434329
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.435134
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.048029
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.016572
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.986328
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.957272
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.930623
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.909076
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.88856
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.86906
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.855204
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.736141
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.719592
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.703987
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.689313
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.67556
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.662715
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.655682
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.077873
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.567582
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.556514
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.143458
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.482061
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.475492
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.469753
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.464842
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.460753
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.457485
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.455034
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.4534
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.452579
ß(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.452574
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.453381
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.37368
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589275
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.01493
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.985711
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.959802
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.93815
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.917536
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.897942
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.881804
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.75632
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.739713
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.724053
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.709329
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.695527
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.682638
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.670652
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.062956
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.590695
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.579589
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.120746
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.501349
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.494757
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.488998
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.48407
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.479968
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.476688
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.474229
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.472588
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.471765
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.471759
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.47257
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.373171
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588722
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.820418
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.015342
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.990167
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.968407
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.947689
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.927997
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.909518
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.777509
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.76084
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.745123
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.730344
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.716492
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.703556
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.691526
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.048162
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.614966
É(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.603817
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.651046
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.521601
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.514984
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.509205
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.504258
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.500142
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.49685
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.494381
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.492735
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.491909
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.491903
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.492717
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.372684
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588188
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819836
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.069469
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33917
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.631487
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963214
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.849417
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.476031
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.799722
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.782989
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.767211
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.752376
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.738471
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.725485
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.71341
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.652635
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.640409
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.629215
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.550319
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.542832
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.53619
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.530389
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.525424
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.52129
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.517987
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.51551
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.513857
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.513028
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.513022
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.51384
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.372226
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587673
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819321
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.068879
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338546
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.632878
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.964779
Ò(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.816009
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.417227
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.822978
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.806179
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.790339
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.775444
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.761483
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.748446
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.736321
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.679323
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.667048
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.655808
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.572578
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.565061
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.558393
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.552569
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.547583
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.543434
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.540117
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.53763
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.535971
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.535139
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.535134
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.535955
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.371763
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587199
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818777
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.068331
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.337957
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.634306
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.966342
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.781076
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.35935
(330.09, 7.38, 372.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.757698
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.79921
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.780189
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.76228
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.746872
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.735049
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.720611
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.707232
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.694906
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.604261
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.595855
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.588306
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.58161
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.575762
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.570756
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.56659
(330.09, 7.38, 372.76) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.563259
