¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ (335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.79268
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.741422
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.218124
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.758784
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.377089
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.07248
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.88062
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.04218
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.99816
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.81437
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.149587
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.325445
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.529304
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.763052
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.018372
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.298349
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.606679
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.947843
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.32731
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.751849
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.229911
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.772209
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.392518
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.06952
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.90253
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.08762
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.05851
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.89696
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.153374
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.329514
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.534407
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.768616
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.024465
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.305047
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.614075
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.95605
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.336468
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.762133
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.241536
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.785455
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.403364
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.07487
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.92408
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.13199
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.11718
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.97704
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.157178
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.333601
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.539431
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.774098
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.030467
Ö (335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.311645
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.621363
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.964137
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.345496
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.772269
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.252997
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.798516
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.400508
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.08391
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.94642
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.17527
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.17409
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.05452
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.161001
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.337706
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.544377
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.779493
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.036376
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.318142
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.628539
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.972105
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.354387
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.782254
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.264291
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.811388
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.397511
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.09269
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.97431
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.21741
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.2292
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.05027
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.164839
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.341829
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.549244
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.784804
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.042191
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.324537
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.635602
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.979946
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.363141
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.792087
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.275411
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.815617
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.394378
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.10121
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.00173
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.2584
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.28246
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.12693
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.168693
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.34597
å (335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.554029
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.790026
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.04791
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.330826
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.642551
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.98766
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.371755
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.801764
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.286359
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.812742
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.399683
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.11635
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.02867
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.29818
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.33379
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.20094
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.172562
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.350128
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.558734
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.79516
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.053533
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.337012
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.649384
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.995248
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.380228
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.811284
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.297129
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.809748
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.406581
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.13288
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.05511
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.33674
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.38316
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.27221
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.176446
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.354301
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.563355
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.800202
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.059057
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.343088
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.656098
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.002704
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.388554
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.820641
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.297242
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.80663
(335.73, 7.26, 312.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.413239
