¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.16518
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.056221
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.11304
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.171866
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.232773
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.32234
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.521464
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.734578
(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.12588
(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.10557
(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.97895
(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.7879
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.24894
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.30802
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.971
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.84201
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.80682
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.7995
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.82563
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.93009
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.13204
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.32816
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.546041
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.547999
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.336599
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.186833
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.163897
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.142043
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.121253
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.101513
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.134957
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.193506
İ(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.254127
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.316898
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.381902
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.578048
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.795067
(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.97118
(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.95116
(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.88058
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.03971
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.12907
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.24292
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.92384
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.79582
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.76319
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.75589
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.78297
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.88667
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.08833
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.327916
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.544203
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776839
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.524035
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.315793
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.271259
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.249023
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.227871
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.207785
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.21649
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.276857
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.339366
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.404095
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.471137
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.636137
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.857202
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95469
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.95458
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.9329
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.91322
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.0131
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.18109
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.87893
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.75183
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.72161
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.71434
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.74233
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.8453
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.04669
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.326268
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542407
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774909
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.72465
ä(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.504371
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.383398
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.360764
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.339231
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.318784
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.300947
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.363227
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.427721
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.494514
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.563701
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.695775
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.921036
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.163088
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.83201
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.81054
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.79105
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.9009
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.12244
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.83624
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.71
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.68207
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.67483
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.70366
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.80594
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.00708
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.324614
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.540637
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773005
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.939833
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.706277
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.500607
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.477556
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.455627
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.434803
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.415067
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.452759
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.519344
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.588313
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.659758
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.757009
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.986619
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.233501
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.71362
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.69235
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.68001
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.79234
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.0669
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.79571
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.6703
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.64453
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.63731
Ù(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.66695
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.76857
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.96948
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.322953
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.538899
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.771124
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021544
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.922925
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.69226
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.599723
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.577378
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.55616
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.536051
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.545609
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.614398
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.685658
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.759488
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.835999
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.054009
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.305906
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.59926
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.57819
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.57695
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.68731
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.0144
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.75733
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.63269
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.60895
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.60175
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.63216
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.73316
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.93385
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.32134
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.537132
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769222
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.019496
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.155924
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.910578
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.727611
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.704831
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.683198
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.662698
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.64331
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.713051
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.786729
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.863077
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.94221
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.123264
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.380369
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.48879
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.4679
Õ(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.47722
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.5857
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.96488
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.72105
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.59715
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.57531
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.56814
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.59926
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.69968
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.90016
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.319743
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.535413
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76738
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.017473
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287907
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.14548
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.902669
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.838362
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.816296
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.795386
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.77561
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.815488
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.89172
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.970727
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.052632
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.194445
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.456961
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.38207
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.36136
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.38073
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.48739
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.91828
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.68684
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.56363
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.54359
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.53643
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.56823
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.6681
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.86839
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318122
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.533694
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.765516
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.015482
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285783
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.398855
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 7.139702
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.978381
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.955862
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.93452
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.914338
