¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.99101
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.72747
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.71664
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.70861
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.70338
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.70094
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.7013
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.6573
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.032671
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.280704
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.548049
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.836993
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.150238
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.49085
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.862535
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.26973
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.717651
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21269
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76237
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29694
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68478
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1021
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55227
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03927
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56766
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.94857
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.89047
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.97336
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.64642
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.62724
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.61086
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.59729
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.58652
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.57852
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.57331
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.57086
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.57119
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.52748
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.037097
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285484
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.55322
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.842617
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156291
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.497443
µ(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.869772
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.277683
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.726418
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22238
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77332
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27442
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66063
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07614
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52429
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00869
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53288
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.86788
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.82629
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.90841
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.52052
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.50144
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.48516
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.47166
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.46093
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.45296
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.44776
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.44531
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.44562
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.40218
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.041519
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.29026
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.558364
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848175
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.162347
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.504051
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876995
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.285584
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.735159
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23205
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7841
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25196
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63532
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04764
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49217
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97276
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49393
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.79059
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.76481
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.8462
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.39906
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.38008
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.36389
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.35046
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.33978
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.33185
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.32666
¤(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.3242
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.32449
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.28127
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.04596
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.295012
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563508
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.853713
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.168394
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.510607
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88419
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.293491
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.743853
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24172
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79488
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.226
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60749
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01772
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45994
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93794
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57366
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.71661
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.70597
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.78666
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.28186
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.26299
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.24687
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.2335
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.22287
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.21497
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.20979
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.20734
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.2076
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.16464
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050382
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299777
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.568669
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.859313
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174442
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.517225
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891394
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.301413
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.752565
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25139
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80562
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19224
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58049
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98872
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42867
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90418
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6754
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.64589
µ(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.64974
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.72977
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.16884
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.15006
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.13402
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.12072
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.11013
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.10226
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.0971
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.09464
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.09487
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.05216
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.054804
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.304521
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573782
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86487
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.180457
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.523776
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.89855
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.309288
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761273
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26101
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78746
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15797
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55435
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96061
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39838
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87145
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77815
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.57834
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.59607
(321.60, 7.26, 367.09) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 15.67547
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.05988
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.04119
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.02523
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.01199
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 18.00145
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.9936
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.98845
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.98599
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.98621
(321.60, 7.26, 367.09) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 17.94373
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059185
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309265
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578895
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.870389
(321.60, 7.26, 367.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.18648
