¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.35971
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.32837
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.1345
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.170705
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.346207
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.534894
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.738277
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95666
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.196474
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.457414
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.742347
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.071741
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.453804
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.500999
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.010248
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.603769
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29338
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12596
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28798
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76438
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.74015
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.94704
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.2823
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.09613
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.176931
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.352892
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.542091
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.746044
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.965466
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.206041
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.46784
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.753753
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.083019
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.065558
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521353
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.033205
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633989
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32815
È(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15407
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32764
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85009
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.27335
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.99002
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.23648
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.05705
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.183189
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.359612
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.549325
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753852
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.974314
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215654
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478319
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.765218
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.673466
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083755
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541736
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.056173
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.664208
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36297
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18197
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3509
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93451
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.87605
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.03025
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.23658
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.01861
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.189476
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.366363
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.556594
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.761698
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.983205
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225314
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.48885
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.318595
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.689804
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.101963
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.562141
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081434
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.694412
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39781
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21215
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37349
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01763
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.44665
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.0677
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.25408
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.98081
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.195792
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.373147
Ê(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.563898
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.769584
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.992135
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.235016
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.000447
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333363
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706166
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.120162
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.582527
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.10788
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72464
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4327
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2525
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39538
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0993
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90824
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.10232
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.27039
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.94365
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.202136
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.379962
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.571237
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.777508
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.001102
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718446
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.016286
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.349616
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.722493
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.138361
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.602915
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.134314
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.754865
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46457
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29269
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4166
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17945
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97549
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.13408
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.2855
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.90714
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.208508
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.386808
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.578609
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.785468
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.467543
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.729889
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.032153
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.367062
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.738857
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156581
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.623327
Ü(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.160729
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.785073
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48923
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33273
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43713
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24659
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0401
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.27187
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.29942
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.87127
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.214907
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.393682
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586012
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.235491
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.478116
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741777
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.048039
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.384551
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756086
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174747
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.643732
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.187127
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812056
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51381
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3726
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45687
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28975
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10198
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.79839
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.31212
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.83512
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.221332
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.400586
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.02036
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245302
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.488706
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756268
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.063937
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.402091
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.77548
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.19295
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.664121
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.213473
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.833332
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53826
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41227
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50266
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33092
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16106
(334.68, 7.16, 313.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.4334
