¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.618535
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.736334
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006557
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.300502
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.621377
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973008
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.359936
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.770071
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.217209
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713884
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.287271
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.306437
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.285613
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.408288
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.527491
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.510056
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.769109
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.753857
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.739958
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.727406
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.877759
(416.09, 14.51, 246.24) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 21.30776
(416.09, 14.51, 246.24) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.06017
(416.09, 14.51, 246.24) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 18.99124
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.33638
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.496348
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.66703
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.849583
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.045213
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.255351
è(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481613
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.7299
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.99956
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.292883
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613044
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963847
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.349896
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.760563
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.206681
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.702216
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.280578
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.270978
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.250272
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.400085
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.49118
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.473849
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.731832
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.716673
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.702866
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.690397
(416.09, 14.51, 246.24) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 15.77544
(416.09, 14.51, 246.24) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.25758
(416.09, 14.51, 246.24) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.19426
(416.09, 14.51, 246.24) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.16313
(416.09, 14.51, 246.24) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 20.36391
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.333833
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.493594
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.664121
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.84647
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.041865
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.251733
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477724
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.723606
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.992764
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.28547
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604949
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.954972
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.340082
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751423
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.196541
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.690922
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.258987
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.237056
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.216465
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.392336
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.456443
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.439212
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.696169
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.681103
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.66738
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.654991
Ø(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.643926
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.634175
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.625733
(416.09, 14.51, 246.24) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 18.2502
(416.09, 14.51, 246.24) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 20.42305
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.331373
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.490993
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.661336
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.843498
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038664
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.24831
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.47404
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717737
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986101
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.278234
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.597034
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946273
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330496
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.742583
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.186755
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.680041
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.131108
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.109544
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.089298
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.070354
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.052698
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.036317
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.021196
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.375791
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.362577
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.35065
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.34
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.413766
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.410067
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.407623
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.406437
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.32903
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.488467
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.658641
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.84062
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.035596
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245013
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.47048
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713889
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97963
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271172
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589333
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.93784
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.321191
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.734026
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.0895
÷(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.065536
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.042911
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.07897
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.058825
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.039979
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.022414
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.00612
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.99108
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.344369
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.331231
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.319374
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.327992
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.75698
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.753029
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.750387
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.749053
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.326763
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.486068
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.656086
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.837856
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.03264
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.241828
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.467067
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710217
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.973399
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264294
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581826
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.929592
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.31212
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.085458
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.060253
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.0364
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.013881
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.992676
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.972772
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.011032
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.993555
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.977342
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.96238
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.314424
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.301358
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.289568
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.419983
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.130803
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.12657
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.123702
(416.09, 14.51, 246.24) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.122198
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.324593
(416.09, 14.51, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.483767
