¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Â(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02846
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.37633
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.969915
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62635
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1655
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96365
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87605
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93738
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10695
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36422
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.8981
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.73265
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81969
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.339505
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.46346
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.595411
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.736129
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.884932
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.042623
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.206394
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.38199
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.570704
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.774028
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.001424
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.246561
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.513059
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.804368
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.129986
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.481437
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.87057
Õ(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.318851
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.793844
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.329285
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.914221
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56303
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0995
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88865
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79009
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84863
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00483
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25781
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77211
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.58113
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.6517
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.330109
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.453475
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.584784
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.724796
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.873092
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.030337
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.193253
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.367901
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.555563
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.757713
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.982552
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.22636
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.491045
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.780287
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.103108
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.451789
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.837698
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.280621
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.751062
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.27965
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.853785
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50123
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03528
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81572
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7066
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76261
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90481
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15492
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.65046
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.37888
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.48997
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.320852
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.443643
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.574318
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.713639
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.861445
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.018276
Ê(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.180353
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.354074
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.540707
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.741708
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.96401
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.206531
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.469439
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.75666
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.076751
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.422722
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805487
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.243188
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.709197
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.232514
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.803118
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19304
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97281
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74483
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62547
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67915
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80798
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0555
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53297
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1022
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.33429
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.311736
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.43396
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.564016
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.702656
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.849992
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.006231
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.167697
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.34051
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.526135
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726015
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.945797
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187069
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.448244
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.733488
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.049879
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.394234
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.773929
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.206543
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.668236
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.186426
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.753649
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13302
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9072
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67594
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54964
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59246
Ñ(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71414
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95938
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41951
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.93594
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.13441
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.302762
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.424429
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.553875
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.691847
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.838731
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.994191
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.155281
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.327208
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.511847
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.710629
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.927912
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.167974
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427451
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.710764
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.023505
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.36632
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.74302
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.170676
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.628164
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.141364
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40327
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07452
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84018
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60893
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47704
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50819
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62331
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86657
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31007
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.77537
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.92464
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.293928
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.415048
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.543897
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.681212
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.827663
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.982357
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.143106
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.314163
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.497839
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.695548
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.910352
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.149242
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.40706
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.688483
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.997628
á(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.33897
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.712747
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.131942
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588967
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.097313
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35339
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01738
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77487
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54383
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40648
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42646
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53536
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7769
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20443
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62043
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.72221
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.285234
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.405817
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.53408
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.670752
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.816661
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.97073
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.131169
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.301378
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.48411
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.68077
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.893111
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.130869
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387066
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.666645
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.972909
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.312178
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.683104
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.094947
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.550632
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.721767
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30704
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96169
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7112
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48063
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33806
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34716
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45024
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69041
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10262
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.4708
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.50229
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.276681
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.396737
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.524424
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.660464
Ú(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.805678
