¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.883001
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.39176
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.928177
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.909828
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.893021
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.877742
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.863981
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.851727
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.731252
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.190128
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.186972
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.185191
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.471757
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.741664
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.057229
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.368938
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.707087
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.075127
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.967453
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39434
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88264
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42159
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99918
¦(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60359
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27421
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03011
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88093
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86087
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90925
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.995287
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.97527
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.956819
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.939916
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.924549
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.910707
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.898377
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476909
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.754784
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.064734
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.377066
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.71592
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.084759
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.487669
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40486
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89121
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43103
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01001
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61708
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2892
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03973
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89184
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87638
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95757
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.02432
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.00576
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.988759
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.973299
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.959372
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.482035
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.780142
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.072222
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.385183
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.72474
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.094377
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.498197
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41544
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89979
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44053
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0188
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63074
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30443
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05623
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90295
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89211
ƒ(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00703
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0567
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.0396
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.02404
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.01002
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.487127
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.789827
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.0797
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.393282
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.733542
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.103978
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.508076
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42609
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90839
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45006
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02766
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64466
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31989
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07351
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91989
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90803
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05764
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.07681
(379.71, 15.84, 279.63) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.06271
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.509334
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.796733
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.08716
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.401366
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.742331
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.113562
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.5149
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43689
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91706
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45954
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03662
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65873
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33557
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09106
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93968
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91979
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.09597
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.532355
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.803623
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.094605
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.409433
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.751099
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.128631
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.521743
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44775
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92569
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46769
ô(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0457
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67305
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35146
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10887
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95976
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.92606
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11294
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.540297
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.810496
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.102032
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.417481
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.759849
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.137531
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.528608
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45869
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93438
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47597
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05485
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68756
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36763
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12696
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98011
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93247
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12038
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.546657
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.81735
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.109438
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.425508
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.771091
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.143839
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.53549
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.963746
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94376
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48433
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06409
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70225
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38399
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14526
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00077
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93899
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1279
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.552999
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.824185
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.116825
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.433516
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.790163
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.150162
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.542392
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.971307
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95597
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49275
ñ(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07341
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71716
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40058
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16387
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02172
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95533
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1356
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.559321
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.830997
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.124188
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.441496
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.795989
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.156499
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.549308
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.978887
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96827
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50125
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08281
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72834
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41741
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18269
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04298
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97686
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14074
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.565623
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.83779
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13153
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.459013
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.801831
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.162852
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.556244
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.986486
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98065
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50986
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09233
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73893
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43446
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2018
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.06449
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99879
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13583
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.571901
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.844559
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.138847
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.474793
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.807682
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.169218
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.563191
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.998478
(379.71, 15.84, 279.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99317
