¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Þ(333.30, 7.43, 363.47) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.53294
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.550489
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14874
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80468
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46924
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.03619
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.30332
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91073
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56001
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.56914
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.33993
å(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.31842
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.2997
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.28374
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.27053
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.26007
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.25234
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.24733
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.24505
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.2455
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.01308
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.214154
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430088
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.662599
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914524
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.193955
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.49702
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823502
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.18099
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592793
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.051557
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.548933
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14558
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79943
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46671
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25172
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.05547
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.31589
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89687
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54329
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.54865
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.29888
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.27743
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.25875
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.24283
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.22965
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.21921
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.21151
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.20652
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.20425
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.2047
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.013538
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.214602
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.43057
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.663118
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.914898
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.194364
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.497215
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823713
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.181225
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592333
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.050184
ï(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.5474
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14229
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79419
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4645
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25349
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.07472
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.3284
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88321
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52682
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.52837
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.26073
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.23933
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.22069
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.20481
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.19167
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.18125
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.17357
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.16859
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.16634
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.16679
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.013986
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215084
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.431087
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.663676
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91529
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.19479
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.497446
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823967
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.1815
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591831
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.048832
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.545892
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13885
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78894
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46259
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2553
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.09394
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.34084
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86969
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.5105
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50832
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.22546
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.2041
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.1855
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.16966
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.15654
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.14616
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.13849
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.13353
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.13128
(333.30, 7.43, 363.47) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.13173
·(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.014467
(333.30, 7.43, 363.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215598
