¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2678
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.56973
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.66782
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.78584
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.90833
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.03547
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.16731
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.811093
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012187
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.226611
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455719
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.608339
Ò(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.621639
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.948383
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.418605
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.945749
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.544844
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.23157
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02656
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95742
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18429
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82163
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70421
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.7716
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.18009
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24021
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.30369
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.37065
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4411
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51513
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.59278
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6741
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.75917
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84808
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.9409
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.03768
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.13857
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.2436
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826573
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.028676
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244205
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.474503
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605638
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.625766
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.985863
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.464642
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.998209
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.604774
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30067
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10707
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.05241
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35069
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01035
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03067
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.87401
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36364
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.42516
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.49011
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.55855
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63054
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70615
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.78541
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.86844
Ï(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95524
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04596
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14059
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23929
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.34211
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44912
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842265
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.045376
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262023
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.493562
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.604049
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.630746
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.023353
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.506918
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.05087
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.664981
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37015
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18813
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14816
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51962
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20225
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37852
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97894
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.55352
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61647
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.68294
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.75298
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82656
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.90381
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98482
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.06956
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.1582
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.25079
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.34732
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44798
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.55283
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66234
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858179
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0623
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.280087
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.512874
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.60357
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.636584
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.060843
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.549218
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.102031
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.725459
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44001
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26971
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24465
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69113
å(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39735
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73635
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08648
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.74989
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81442
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.88247
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95413
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.02941
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10839
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.19116
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27778
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.3683
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4628
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.56147
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66577
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.77432
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.8873
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.874257
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.079445
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298352
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.532421
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.6042
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.659751
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.098327
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591536
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.15017
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.786196
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51024
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35181
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34189
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86524
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59569
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.10445
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.19671
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95304
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.0192
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.08891
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.16227
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23933
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.32014
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.40476
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.49328
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.5872
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.68528
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.78757
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.89412
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.00498
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12031
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890573
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0968
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.316884
Ñ(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552239
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605943
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.693137
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135788
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.633856
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.198341
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.843378
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58081
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43441
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43984
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01412
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79735
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.44087
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.30958
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.14787
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23108
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30256
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37767
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.45657
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.54041
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.62857
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.72068
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.81687
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9172
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.02175
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.13062
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.24393
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.36173
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.907038
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.114396
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.335662
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.572307
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.608797
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.726478
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.173218
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.676164
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.246532
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.898758
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65168
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51749
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.53849
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1331
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9472
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64513
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.42527
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27356
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.45036
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.52446
(378.82, 7.61, 346.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.60304
