¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ï(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.63589
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204428
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.433343
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.680831
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.94921
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.241182
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.564748
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.920668
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.314898
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.775581
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.272195
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.845991
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49466
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29106
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24447
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.3647
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.84541
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.83276
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 14.03806
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.30162
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.28504
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.06308
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.85031
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.64622
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.47325
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.39113
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.31191
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.23551
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.16186
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.15566
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.21352
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.27376
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.201704
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430401
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677645
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.945749
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.237411
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.560561
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.916156
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.309908
ù(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.76974
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.264665
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.836981
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48367
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27708
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22744
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34487
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.82591
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.79733
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 14.05303
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.29602
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.28189
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.06004
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.84736
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.64336
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.46908
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.38701
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.30784
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.23149
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.15789
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.14983
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.20763
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.26782
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.198936
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427412
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.674408
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.942236
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.23358
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.556291
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.911548
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.304813
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.7637
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.257005
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.827717
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47246
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26268
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.20983
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32454
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.8053
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.75709
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 14.07363
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.29239
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.28102
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.05919
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.84654
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.64256
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.46683
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.38479
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.30565
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.22933
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.15575
Ò(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.14581
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.20357
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.26372
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.196123
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424375
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.67112
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.938663
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.229686
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.551935
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.906838
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.299606
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.757463
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.249209
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.818196
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46103
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24787
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.19164
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30369
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.78393
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.71207
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 14.09991
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.29071
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.28242
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.06055
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.84786
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.64384
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.46651
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.38447
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.30534
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.22901
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.15544
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.1436
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.20134
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.26147
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.193268
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421292
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.667781
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.935038
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.225735
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.547501
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.902034
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.294294
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.75103
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.241288
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.808427
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4494
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23265
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.17289
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.28235
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.76242
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.66239
ş(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 14.13192
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.291
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.28611
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.06412
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.85132
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.64719
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.46811
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.38605
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.30689
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.23055
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.15696
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.1432
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.20094
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.26106
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.1904
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.418163
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.664393
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.931357
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.221726
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.542984
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.89713
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.288875
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.744403
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.233238
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.798408
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43756
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21702
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15358
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.26051
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.73957
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.60812
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 14.16975
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.29324
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.29207
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 13.06989
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.85691
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.65262
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.51149
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.42981
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.35101
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.27503
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.20639
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.18501
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.23523
(384.21, 6.70, 353.49) (362.90, 4.28, 326.86) (7.11, 2.87, 7.91) Truck 12.28771
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187502
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.414988
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.660955
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.927625
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.217658
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.53839
í(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.892134
(384.21, 6.70, 353.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.283351
