¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(377.54, 15.93, 285.68) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 17.5043
(377.54, 15.93, 285.68) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 17.53111
(377.54, 15.93, 285.68) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 17.51217
(377.54, 15.93, 285.68) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 18.9555
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.430988
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.59588
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.772893
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960374
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.160817
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376196
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.608201
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.858788
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.119131
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.397826
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.186908
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.537643
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.921116
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.342128
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.806432
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32089
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.894
§(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53634
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26114
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02316
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8803
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72859
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50367
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.07487
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.91592
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.86511
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.81724
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.77227
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.73016
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.69089
(377.54, 15.93, 285.68) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 18.9462
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.425117
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.589621
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.765919
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.953322
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.153253
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.368063
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.599438
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.849315
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.111078
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.857074
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.17829
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.528202
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.91081
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.330835
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.793914
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30698
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87852
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51894
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24147
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00489
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84859
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71101
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48414
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67912
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.77655
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.74653
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.71925
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.6947
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.67285
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.65368
(377.54, 15.93, 285.68) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 18.93973
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.419353
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.583473
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.759058
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.946402
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.145832
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.360087
¨(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.590838
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.840024
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.103252
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.849404
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.16995
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.519116
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.900887
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.3199
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.781821
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29357
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86353
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50214
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22243
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98745
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82715
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6948
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46621
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3301
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.81208
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.78196
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.75459
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.72995
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.70802
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.68877
(377.54, 15.93, 285.68) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 18.93608
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.413687
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.577434
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.752313
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.939612
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.138552
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.352262
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.582405
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.830912
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547274
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.841952
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.161852
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.510327
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891226
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.309278
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.770164
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28059
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84907
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48589
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20407
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97085
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8083
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67998
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45609
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36699
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.85044
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.82021
 (377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.79274
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.76801
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.74598
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.72666
(377.54, 15.93, 285.68) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 18.93526
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.408125
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.571506
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.745949
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.932955
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.131414
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.34459
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.57414
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.821981
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.540636
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.834791
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154079
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.501825
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.881934
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.299092
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.75887
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26809
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83512
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4702
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18633
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95508
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79041
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68732
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50521
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4198
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.89165
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.86131
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.83373
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.8089
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.78678
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.76736
(377.54, 15.93, 285.68) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 18.93726
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.402666
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.565686
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.739734
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.926429
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.124419
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.337072
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56604
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254817
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.532892
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.827873
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.146573
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.493643
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.872985
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.28924
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747996
±(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25606
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82166
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45511
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16928
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94015
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72305
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62293
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5561
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47125
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27694
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.90529
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.87759
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.85265
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.83043
(377.54, 15.93, 285.68) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 17.81092
(377.54, 15.93, 285.68) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 19.44175
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.397311
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.559978
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.733638
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.919936
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.117566
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.329709
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.558105
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246042
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523361
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.82123
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.139329
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.485765
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.86434
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.279754
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.737529
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24444
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80872
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44058
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15281
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88376
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58935
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37899
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60878
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52487
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24788
(377.54, 15.93, 285.68) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 19.35508
(377.54, 15.93, 285.68) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 19.32509
(377.54, 15.93, 285.68) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 19.29807
(377.54, 15.93, 285.68) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 19.27399
(377.54, 15.93, 285.68) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 19.25285
(377.54, 15.93, 285.68) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 19.21357
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.392058
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.554381
(377.54, 15.93, 285.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.727661
