¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.18838
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01971
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64194
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34172
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14193
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12049
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30657
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59665
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15149
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.42073
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.38986
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.36184
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.33663
¤(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.31422
(437.18, 15.13, 251.20) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 18.29459
(437.18, 15.13, 251.20) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 20.72264
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.795276
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.997483
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215323
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.450586
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.705399
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982256
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.284134
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148473
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540071
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972607
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.45861
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01743
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63395
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33262
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13149
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11155
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27566
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54084
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.09545
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.87658
(437.18, 15.13, 251.20) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 20.84989
(437.18, 15.13, 251.20) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 20.81894
(437.18, 15.13, 251.20) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 20.79119
(437.18, 15.13, 251.20) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 20.7666
(437.18, 15.13, 251.20) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 20.74517
(437.18, 15.13, 251.20) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 20.72687
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.794847
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.997002
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.214804
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.450023
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.704789
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.981594
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792479
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148616
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540245
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972782
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.456462
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01074
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62595
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32349
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.121
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10233
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22863
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48523
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0396
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72299
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.94061
(437.18, 15.13, 251.20) (401.28, 7.66, 255.74) (1.57, 1.43, 1.53) Tools 23.1352
(437.18, 15.13, 251.20) (401.28, 7.66, 255.74) (1.57, 1.43, 1.53) Tools 23.1015
(437.18, 15.13, 251.20) (401.28, 7.66, 255.74) (1.57, 1.43, 1.53) Tools 23.07134
(437.18, 15.13, 251.20) (401.28, 7.66, 255.74) (1.57, 1.43, 1.53) Tools 23.0447
(437.18, 15.13, 251.20) (401.28, 7.66, 255.74) (1.57, 1.43, 1.53) Tools 23.02154
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.794416
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99652
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.214283
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.44946
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.704178
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980929
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792609
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148769
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540379
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972948
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.454284
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00362
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61788
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31432
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11047
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09293
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1819
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4297
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98404
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57216
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82219
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.27367
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.793984
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.996056
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213759
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.448895
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.703564
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980261
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79271
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14889
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540539
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.973126
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452781
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.996426
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60978
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30511
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09988
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08324
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13545
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37436
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92872
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42402
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71202
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.07284
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.793552
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.995591
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213235
•(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.448328
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70295
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467544
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792828
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14904
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540679
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.973255
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.448932
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.989204
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60163
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29582
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08924
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07334
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08932
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31918
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84886
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29377
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50251
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82537
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.793118
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.995124
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.21271
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.447758
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.702332
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467643
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792929
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149135
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540773
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.973396
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.445097
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.981975
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59346
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28653
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07855
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06321
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05936
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2642
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74083
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16632
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21646
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.54148
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.792683
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.994656
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212181
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.447187
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.701712
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467726
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793005
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149217
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540875
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.971975
 (437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.441277
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.974723
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58525
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27719
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06785
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05284
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0396
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20936
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63465
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.04112
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.93404
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.2646
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.792247
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.994186
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.211675
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.446614
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169566
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.46777
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793074
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149312
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540981
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.968546
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.437484
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.967422
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57701
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2678
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05708
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04223
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0202
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15477
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50808
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91812
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.65995
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.99452
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.64492
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791809
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.993716
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.211167
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.446038
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169623
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467846
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793167
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149355
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541035
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.965141
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.433695
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.960069
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56874
(437.18, 15.13, 251.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25841
