¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¿ (431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.039105
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54257
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860451
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.200598
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.527676
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88329
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.271324
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696295
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.332597
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.311104
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.291736
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.272079
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.883909
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.865713
Ö (431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.274023
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.259468
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.246051
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.23376
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.222588
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.212525
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.203564
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.195698
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.18892
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.183227
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.178614
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.175076
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.172612
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.273417
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487215
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.71711
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965008
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.233025
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523644
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839821
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156999
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.484307
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.836129
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21979
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.639794
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.315004
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.29357
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.275017
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.254738
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.86503
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.846886
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.25662
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.242109
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.228733
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.216481
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.205343
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.195313
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.186381
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.178542
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.171788
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.166116
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.161522
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.158001
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.155551
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260626
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.473455
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702293
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949023
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215694
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504853
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.819339
ä (431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10827
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433273
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.789673
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.169085
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.584206
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.298589
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.277723
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.259462
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.238584
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.847418
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.829321
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.240387
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.225916
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.212576
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.200359
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.189255
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.179254
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.170352
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.162537
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.155806
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.150154
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.145578
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.142073
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.139636
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.24786
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459764
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687573
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93312
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198498
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486167
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.786436
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.064247
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.376536
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.730042
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.116096
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.529522
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.283342
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.263275
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.245055
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.223604
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.831055
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.813007
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.225307
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.210873
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.197569
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.185384
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.174309
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.164337
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.155458
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.147668
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.140959
Â (431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.135327
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.130766
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.127275
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.124851
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.235171
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.446125
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.672915
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.917325
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181353
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467584
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746221
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020982
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320714
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.669255
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.049644
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.466426
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.269333
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.249969
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.231784
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.209786
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.815934
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.797927
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.211368
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.196969
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.183696
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.171543
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.160495
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.15055
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.141695
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.133927
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.127236
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.121621
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.117077
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.113599
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.111186
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.222585
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.432621
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658354
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901594
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16439
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449146
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706629
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.978415
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.271299
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.609522
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.984407
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.394875
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.257122
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.237795
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.219643
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.197121
İ (431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.80204
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.784071
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.19856
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.184193
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.170951
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.158824
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.147805
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.137882
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.129049
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.1213
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.114629
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.109029
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.104498
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.101033
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.098629
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.210033
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.419183
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.643893
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.88599
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147515
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417543
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.66769
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.936544
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226145
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.550777
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.920275
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.324596
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.361887
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.22674
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.20862
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.185595
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.789362
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.77143
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.186875
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.172538
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.159322
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.147221
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.136222
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.126324
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.117509
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.109778
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.103123
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.097538
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.093021
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.089566
(431.85, 14.35, 327.61) (426.17, 14.31, 302.89) (8.74, 13.67, 17.31) Truck 7.087172
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.19756
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405806
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629535
