¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.27965
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.418563
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.986722
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3044
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6446
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12692
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6628
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18374
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.64123
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.30127
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07003
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.32408
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70761
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.68001
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.65513
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.63294
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.9956
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.83768
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.69217
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.696
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.78826
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.88392
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.97633
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.0724
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.936722
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.370941
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.855577
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.43866
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.990578
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30852
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64901
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.15519
Ç(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.69395
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.25317
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72464
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37727
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17464
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.37703
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.75617
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.72851
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70359
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.68137
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.97952
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.82665
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.68182
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.65213
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.74389
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.8365
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.92839
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02392
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.42002
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.948777
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.384155
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.871351
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.45787
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.994738
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31297
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65377
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18356
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.87287
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.32887
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.80709
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45239
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.26865
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.99094
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.52576
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.4962
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.46961
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.12934
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.9688
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.81899
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.67428
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.61098
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70227
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.7919
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.88329
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.97832
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.07708
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.34109
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.960277
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.396777
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.886424
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.47618
Í(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.999199
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31773
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65888
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21206
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.11077
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40644
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88854
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52671
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.02463
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.02337
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.58231
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.55271
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.28745
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.1189
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.9639
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.81417
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.66952
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.57252
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.6627
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.75008
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.84101
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.93556
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.03383
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.21847
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.971216
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.408796
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.900781
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.493574
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00396
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32283
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71389
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24066
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35286
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48142
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96896
(380.63, 14.76, 269.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59995
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.08753
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.7355
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.84639
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.96138
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.27984
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.11685
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.96188
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.81217
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.66756
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.53672
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.62405
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.71101
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.80151
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.89561
(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.01732
º(380.63, 14.76, 269.08) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.1441
