¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.26696
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.974439
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.12479
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.285327
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.457012
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.049087
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.26297
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493489
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.742745
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012921
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298577
Í(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60803
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946112
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.316927
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725393
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.170175
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.662287
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21837
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.8839
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.861371
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.840413
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.821008
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.803138
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.786792
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.771955
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.758617
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.74677
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.736403
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.2724
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.16108
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.700024
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.832595
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.973625
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.123923
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.2844
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.456063
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048461
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.26228
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492759
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741923
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012062
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298324
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.607738
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945788
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.316564
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725033
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.170814
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.657009
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.776605
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.752934
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.730824
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.71026
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.691228
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.67371
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.657696
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.64317
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.630124
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.618547
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.60843
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.3077
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.18422
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.699418
»(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.831951
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.97294
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.123194
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.283622
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.849154
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.047982
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261746
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492214
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741361
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011411
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298353
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.607759
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945831
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.316599
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.72504
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171926
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.653931
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.650074
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.626822
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.605111
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.584926
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.566251
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.54907
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.533373
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.519145
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.506375
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.495055
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.485176
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.34491
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.20974
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.698925
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.831429
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.972386
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.122602
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.28299
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.848872
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.04769
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261455
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491918
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740972
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01103
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.29867
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.608115
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.946203
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317014
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725512
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173512
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.655689
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.528193
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.505343
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.484015
Ì(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.464191
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.445857
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.428998
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.413604
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.399659
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.387154
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.376081
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.366428
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.38408
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.23769
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.698549
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.831029
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.971961
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.122149
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.282506
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.848768
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.047571
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261348
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491778
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740853
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.010878
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299277
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60875
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.94692
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317793
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726358
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.175604
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.65802
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.410754
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.388288
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.367324
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.347846
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.329839
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.313288
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.298181
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.284506
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.272253
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.261414
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.251979
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 11.42523
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.26807
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.698288
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.830752
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.971665
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.121835
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.663519
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.84885
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.047662
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261419
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491852
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740911
â(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.010974
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.300151
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60975
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.947965
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.318966
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.72767
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.178185
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.321155
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.297558
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.275461
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.254847
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.235698
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.218003
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.201745
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.186914
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.173498
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.161487
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.150871
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.141643
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 10.39315
(377.57, 15.25, 277.55) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 12.30093
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.698142
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.830596
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.971499
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.121657
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.663738
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.849066
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.047877
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261676
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492118
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741217
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011315
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30132
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.610987
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.949371
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320491
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.729349
(377.57, 15.25, 277.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18125
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.211646
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.188421
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.166675
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.146395
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.127564
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.110168
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.094193
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.079625
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.066456
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.054675
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.044272
(377.57, 15.25, 277.55) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 9.03524
