¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ!(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.754361
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.91306
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44128
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44541
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.364891
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.493039
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.62965
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.77752
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.937888
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.110188
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.300293
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.508505
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.743733
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.014481
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.301358
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.607263
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.945473
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.321327
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.741408
–!(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.21393
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.749277
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.360767
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.06577
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.88737
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3373
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0949
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.362267
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.490245
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.626672
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.77379
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.933889
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.10589
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.295438
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.503244
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.738542
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.010731
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.293061
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.598115
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.935338
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.310038
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.72876
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.199663
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.733061
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.342172
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.04424
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.86215
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23471
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83999
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.359733
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.48755
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.623798
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.77016
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.929996
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.101705
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.290686
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.498094
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.733432
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.007004
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.284897
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.589117
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.925372
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.298941
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.716328
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.185641
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.717125
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.323905
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.02309
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.80058
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13349
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60988
£!(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.357291
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.484951
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.621028
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.766627
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.926209
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.097635
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.286035
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.493055
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.728405
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.001072
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.27687
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.580269
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.915576
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.288032
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.70411
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.171864
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.70147
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.305966
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.00233
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.72815
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03361
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39893
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.354939
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.482449
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.61836
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.763504
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.922528
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.093678
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.281485
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.488125
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.723461
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.993877
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.268978
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.571573
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.905945
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.277312
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.692104
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.158329
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.686096
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.288352
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.943201
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.65715
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93509
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21318
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.35268
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.480044
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.615798
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.760767
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.918955
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.089838
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.277039
ş (380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.483308
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.718601
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.98681
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.261223
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.563029
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.896485
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.266782
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.680315
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.145041
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.671004
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.267113
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.882692
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.58903
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83786
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03053
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 14.10202
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 14.02262
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.99862
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.97672
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.95697
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.93939
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.92393
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.91056
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.89926
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.350896
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.477737
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.613338
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.75814
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.915487
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.086111
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.272695
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.478602
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.714375
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.979863
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.253604
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.554635
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.887194
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.256441
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.668739
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.131994
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.656193
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.214985
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.823336
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.52338
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74199
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 14.21788
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.98451
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.92841
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.90491
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.88363
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.86448
ù (380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.8474
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.83243
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.81957
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.8088
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.349529
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.475527
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.610981
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.755624
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.912126
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.0825
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.268454
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.474025
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.71112
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.973041
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.246122
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.546393
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.878072
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.246292
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.657376
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.119191
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.633491
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.163815
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.767275
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3596
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64738
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 14.19565
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.97742
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.92232
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.899
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.87792
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.85888
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.84199
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.82719
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.81449
(380.78, 10.51, 325.95) (351.07, 2.99, 321.15) (0.81, 2.16, 0.81) Human 13.80391
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.348258
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.473415
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.60873
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.75322
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.908872
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.079003
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.264314
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.4698
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.70789
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.966343
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.238776
(380.78, 10.51, 325.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.538303
