¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.05896
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37567
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81841
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56302
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.3895
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.3676
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.3482
(328.25, 7.54, 367.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.33128
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.31683
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.30484
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.29529
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.28818
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.28351
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.28127
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.615837
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.803421
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.004895
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.221824
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.455181
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.708133
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982802
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.285361
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.621409
î(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.989594
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.401433
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.853747
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.351753
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.904599
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72327
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29923
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16465
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17048
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3498
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7874
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.5252
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.28789
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.26615
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.2469
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.23011
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.21578
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.20389
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.19443
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.18739
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.18278
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.18058
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.614141
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.801601
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.002939
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.219653
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.452818
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.705573
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980017
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.282613
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.618392
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.985931
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.397371
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.848175
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.345521
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.897116
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53835
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.44942
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16694
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11924
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32418
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75674
(328.25, 7.54, 367.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48782
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.18993
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.16836
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.14925
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.13259
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.11836
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.10657
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.09719
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.09023
À(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.08566
(328.25, 7.54, 367.64) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.08351
