¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.845676
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.349536
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.961482
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.586077
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.757413
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.940545
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.136638
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.347126
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.57355
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817796
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.077875
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272162
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455835
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.650192
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.856169
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.558054
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.535975
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.515144
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.495543
½(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.477155
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.459972
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.443974
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.42915
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.41549
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.402985
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.448546
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.43824
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.42907
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.788545
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.781283
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.775194
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.894506
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.89069
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.587485
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.758944
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.942154
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.138368
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.348995
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575541
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819969
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.073584
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271481
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45514
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649463
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855364
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.528646
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.506668
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.48593
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.466421
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.44812
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.431014
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.415093
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.400342
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.386748
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.431096
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.419704
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.409451
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.40033
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.758429
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.751208
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.745158
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.959199
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.931248
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.588984
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.76056
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.943905
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.14024
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35098
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.57769
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822271
É(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.069547
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271307
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.454929
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649228
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855168
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.073692
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.478706
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.458063
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.438637
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.420418
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.403389
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.387539
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.372856
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.359327
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.403525
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.392186
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.381985
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.374926
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.729696
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.722517
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.747797
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.606976
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.602845
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.600003
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.590595
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.762262
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.94571
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.142169
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.353055
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579928
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.824677
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.065701
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271629
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455237
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649593
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855494
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074054
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.452071
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.431512
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.412168
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.394026
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.377072
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.361291
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.346673
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.333203
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.377256
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.365972
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.355818
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.383703
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.702322
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.695181
²(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.884173
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.592294
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.764048
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.947631
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.144211
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355247
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582293
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.823994
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062099
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272411
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.456115
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.650451
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.856431
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.075091
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.307487
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.406259
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.386993
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.368926
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.352041
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.336325
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.378156
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.364641
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.352272
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.341037
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.330929
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.392968
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.676285
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.669181
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.026415
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.594023
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.765918
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.949632
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.1464
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357584
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.584814
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.820872
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058741
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.27374
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.457462
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65192
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.857981
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.076681
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.309208
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.636581
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.465655
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.443175
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.421934
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.463235
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.629356
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.556812
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.486742
¬(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.419055
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.353671
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.402723
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.651565
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.644494
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.138037
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.595872
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.767902
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.951749
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.148647
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359983
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587397
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817952
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055599
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.275499
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.459357
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.653906
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860085
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.078921
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328206
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.665164
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.031915
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.960707
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.925335
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.710122
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.694846
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.680776
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.667898
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.656203
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.645684
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.636332
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.62814
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 7.621102
(338.04, 7.41, 335.30) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.244959
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.5978
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.769944
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953948
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151005
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.362524
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.590157
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815217
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.052667
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.277783
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.46174
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656449
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862774
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.081758
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.355225
(338.04, 7.41, 335.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.694471
