¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.04507
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.2169
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.217035
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.218397
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.220984
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80712
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86303
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2337
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.15471
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.20868
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.23934
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.27283
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.385544
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.564972
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.755801
è(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.959165
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.17623
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41796
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.082869
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.195189
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.190341
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.186719
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.184321
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.183146
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.183193
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.184461
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.186953
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73709
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74613
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01192
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05959
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.28165
(386.35, 14.37, 305.85) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 18.31265
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.328243
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.504172
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691166
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890328
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102768
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.329851
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044846
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.163154
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.158242
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.154552
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.15208
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.150826
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.150787
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.151968
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.154366
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6673
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63115
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82113
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96633
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.65158
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.272142
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.444652
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.627935
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822998
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.030993
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.25315
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.007256
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.132517
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.127542
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.123785
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.121243
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.119914
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.119798
Ú(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.120893
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.123202
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59869
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51807
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68874
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77126
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.75523
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.217166
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386379
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566062
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.757205
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96087
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.17827
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.934892
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.103248
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.098213
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.094395
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.091787
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.090386
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.090194
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.091209
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.093434
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53127
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40682
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55869
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48365
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.85822
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.163327
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329341
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505519
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.692852
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.892342
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.105176
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.76451
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.228692
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.223683
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.219905
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.217357
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.216036
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.215941
(386.35, 14.37, 305.85) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 8.217075
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57734
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46502
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2974
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43091
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20376
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1852
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.110581
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.273494
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.446335
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629954
°(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.825391
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033778
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.5992
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23287
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.60013
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.131061
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.774612
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39504
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98095
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5792
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52714
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3999
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1898
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3054
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93139
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.4343
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.055119
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.21882
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.388352
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.568391
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.759912
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.964039
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.438813
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.193561
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55713
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086319
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.723195
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36094
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89212
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48024
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47729
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33593
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09188
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18209
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54044
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8689
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.992499
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.165277
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.331623
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.508235
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.69597
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.895892
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.283206
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154728
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514619
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.041609
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671869
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28404
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80493
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38322
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42786
·(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27309
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02158
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.06094
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16996
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39944
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00816
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.93127
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.112869
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.27614
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.44934
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.633432
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.829342
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132184
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.103107
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472652
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.996971
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62067
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.925826
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71936
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28802
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37878
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21132
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95254
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94193
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9605
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94518
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28882
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.871388
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.049525
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.221816
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.391779
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572279
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76435
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985647
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.913834
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.431139
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.952415
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452995
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.701512
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63537
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19471
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33011
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15065
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88478
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82166
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72748
(386.35, 14.37, 305.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51471
