¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863842
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.660175
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36752
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11424
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8192
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65254
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.6088
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90669
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.60254
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.36349
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.45824
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.302
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726733
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.922456
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132979
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359186
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601206
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863442
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148486
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460559
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.80439
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.195148
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.633444
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.117871
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.665466
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37364
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12062
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82554
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65807
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.61313
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.91473
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.61957
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.38725
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.47067
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.3276
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726924
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.922661
í(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133201
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35927
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601296
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863541
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148593
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460553
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804382
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.195765
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.634131
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.119411
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.670564
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37952
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12642
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83211
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6627
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.61771
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92246
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.63645
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.5399
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.49744
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.35362
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.727128
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.922882
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133437
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359383
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601418
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863672
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148736
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460574
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804406
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.196369
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.634804
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.120995
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.675466
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38518
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.13242
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83891
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66686
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.62253
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92988
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.65315
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.41553
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.52459
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.38005
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.727346
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.923115
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133689
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35952
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.601569
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863835
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148915
ë(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460623
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.804461
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.196959
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.635462
(335.93, 7.58, 352.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.122621
