¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.06694
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08874
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82357
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63062
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51799
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.33681
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.30615
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.27775
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.25159
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.22764
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.20588
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.18631
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.16891
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.15365
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.14054
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.12956
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.1207
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.11396
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.10933
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.10681
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.50843
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.734654
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.978243
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.241249
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.526013
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.835312
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.172375
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541111
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.946073
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.392811
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.888083
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4481
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09635
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83226
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65264
ô(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54325
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.40329
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.37247
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.34392
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.31761
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.29353
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.27166
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.25197
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.23447
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.21912
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.20593
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.19488
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.18596
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.17916
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.17449
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.17194
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.511582
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738021
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981886
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245211
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53028
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839958
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.177482
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.546673
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.952197
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.399602
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.895628
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45477
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10392
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82886
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64961
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56867
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.47258
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.44158
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.41287
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.38642
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.3622
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.34019
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.32039
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.30278
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.28734
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.27406
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.26294
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.25395
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.2471
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.24239
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.2398
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.51471
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741412
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985536
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249145
é(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.534554
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844636
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.182562
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.552236
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.958328
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.406374
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.903145
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46142
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11141
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81759
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62883
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59426
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.54472
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.51355
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.48467
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.45806
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.43369
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.41156
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.39164
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.37392
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.35838
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.34501
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.3338
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.32475
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.31785
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.31309
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.31046
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.517883
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.744789
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989221
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.253101
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538844
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.849279
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.187647
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55783
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.964487
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.413185
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.910692
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46801
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11123
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80639
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60795
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61952
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.61979
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.58843
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.55938
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.53261
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.50809
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.48582
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.46577
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.44793
ß(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.43229
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.41883
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.40754
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.39842
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.39146
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.38665
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.33964
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521037
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748194
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.992842
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.25703
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.543161
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.853958
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.192737
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.563432
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.97062
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419984
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.918247
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47451
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10139
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79526
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58692
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59495
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67975
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.6663
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.63707
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.61013
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.58546
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.56304
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.54286
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.5249
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.50914
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.49559
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.48422
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.47502
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.468
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.46314
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.41586
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524175
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.75159
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996516
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260988
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547433
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85861
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.197838
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568993
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.976786
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.426775
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.925842
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48234
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09157
ğ(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78412
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57098
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57033
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72045
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.74723
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.71781
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.69069
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.66586
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.64329
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.62297
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.60489
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.58902
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.57536
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.5639
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.55463
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.54754
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.54263
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.49506
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.527349
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.754993
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.000181
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264949
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551723
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863316
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20295
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.574621
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.982961
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.43359
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.933416
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49083
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08178
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77305
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55836
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54554
(440.46, 14.64, 255.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7281
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.83129
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.80167
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.77437
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.74937
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.72664
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.70618
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.68796
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.67198
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.65822
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.64667
(440.46, 14.64, 255.87) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 14.63732
