¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.855856
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.870059
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.869564
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.869629
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.870253
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.871438
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.873183
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.875493
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.878367
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.067488
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.040743
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.016142
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.00109
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.986767
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.973156
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.960244
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.948479
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.940423
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.932981
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.926145
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.919909
 (431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.914266
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.909212
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.904739
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.900846
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.897527
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.894779
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.8926
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.890987
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.889939
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.889455
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.889535
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.890178
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.891385
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.893157
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.895496
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.898405
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.09237
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.065314
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.039315
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.023016
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.008578
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.994858
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.981842
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.969515
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.961329
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.95385
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.946981
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.940716
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.935048
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.929972
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.925483
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.921577
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.918249
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.915497
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.913317
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.911707
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.910667
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.910194
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.91029
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.910952
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.912183
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.913982
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.916353
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.919298
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.118327
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.090945
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.064631
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.045868
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.03131
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.017477
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.004352
› (431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.991921
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.983114
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.975595
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.968692
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.962396
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.956703
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.951606
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.9471
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.943181
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.939844
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.937087
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.934907
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.933301
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.932268
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.931808
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.931919
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.932602
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.933857
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.935686
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.93809
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.941072
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.145396
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.117671
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.09103
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.069678
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.054995
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.041042
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.027803
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.015265
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.005804
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.998245
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.991306
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.98498
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.97926
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.974141
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.969617
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.965684
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.962338
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.959577
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.957396
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.955795
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.95477
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.954323
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.954451
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.955156
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.956437
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.958296
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.960736
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.963757
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.17362
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.145537
£ (431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.118551
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.094476
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.079663
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.065586
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.052229
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.039578
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.029429
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.021829
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.014853
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.008495
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.002748
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.997606
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.993064
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.989117
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.985763
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.982996
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.980816
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.979219
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.978203
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.977769
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.977916
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.978643
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.979952
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.981843
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.984319
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 2.987382
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.203041
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.174583
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.147236
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.120958
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.105348
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.091141
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.077661
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.064893
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.054021
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.046378
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.039365
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.032974
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.027198
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.022032
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.017472
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.013511
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.010147
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.007376
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.005196
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.003604
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.002599
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.002179
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.002345
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.003096
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.004434
 (431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.006359
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.008873
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.011979
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.233708
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.204857
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.17713
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.150489
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.132087
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.117745
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.104137
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.091247
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.079614
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.071927
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.064874
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.058449
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.052644
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.047454
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.042874
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.0389
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.035527
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.032752
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.030572
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.028986
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.02799
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.027586
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.027772
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.028549
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.029917
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.031877
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.034432
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.037583
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.541489
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.236408
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.208284
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.18126
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.159919
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.145436
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.131693
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.118676
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.106368
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.09851
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.091417
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.084956
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.079121
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.073907
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.069308
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.065319
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.061936
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.059157
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.056978
(431.30, 10.28, 363.10) (409.37, 2.34, 366.37) (8.52, 3.34, 3.88) Truck 3.055398
