¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.522138
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42466
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36442
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48432
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93069
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77266
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38867
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.28862
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.32076
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.62882
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.94972
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.772781
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.000435
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24805
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.518306
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.807178
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.12005
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.467037
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.857757
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.275948
Å(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.759014
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.298781
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.924226
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61249
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40763
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34297
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.45707
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87965
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72678
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.33202
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.3494
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.32319
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61386
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.90721
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.77132
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99885
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.246323
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.516418
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.803345
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.11584
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.462844
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.851773
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.269676
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.751966
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.290689
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.913148
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59922
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39082
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32178
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43015
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.77424
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68155
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.2758
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.41254
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.25254
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.62992
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.92371
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.769876
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99728
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244614
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.514548
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.799581
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.111705
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.458704
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.845527
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.263485
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.745011
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.282684
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.900754
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58613
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37422
Ë(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30084
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.40356
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.74024
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63683
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.22004
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.47805
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.18657
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.62016
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.9449
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.768445
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.995728
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242921
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.511539
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.795886
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.107646
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.454618
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.839406
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.257379
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.737823
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.274768
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.888583
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57322
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35784
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28018
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.3773
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70665
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59271
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16471
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.54594
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.12521
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.55653
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.97083
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.767029
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99419
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241245
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.508224
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792258
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.103662
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.450583
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.833406
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.251352
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.730419
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.266944
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.876635
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56049
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34168
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25978
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35137
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.67346
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54916
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08349
Ç(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.61627
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.06837
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4976
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.9474
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.765628
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.992668
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.23959
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.504972
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788701
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.099755
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.446602
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.827533
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.245408
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.723137
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.259211
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.86491
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54795
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32574
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23964
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32576
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.64069
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.32726
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00122
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.60754
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.06016
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.44338
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.89112
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.764243
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.991165
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.237951
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.501784
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.785213
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.095926
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.442677
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.821783
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.23955
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.715976
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.251569
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.853414
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53559
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31002
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21978
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.3005
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.60833
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.28376
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.91936
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.53363
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.2149
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.58783
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.97738
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.762872
Ø(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.989677
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.236332
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.498658
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.781796
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.092173
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.438805
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.816161
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.233774
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.708934
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.244023
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.842139
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.52341
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29452
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.20019
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.27556
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.5739
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.24068
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.83788
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.46272
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.37607
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.75416
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.761518
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988206
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.23473
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495601
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.77845
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.088499
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.43499
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.810664
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.228086
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.702014
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.236571
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.831096
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50967
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27925
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18087
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.25096
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53629
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.19801
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.75682
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.39475
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.54382
(435.98, 13.87, 288.38) (441.33, 9.66, 254.57) (8.03, 2.98, 6.97) Truck 16.71577
(435.98, 13.87, 288.38) (441.33, 9.66, 254.57) (8.03, 2.98, 6.97) Truck 16.66499
(435.98, 13.87, 288.38) (441.33, 9.66, 254.57) (8.03, 2.98, 6.97) Truck 16.67732
(435.98, 13.87, 288.38) (441.33, 9.66, 254.57) (8.03, 2.98, 6.97) Truck 16.70928
(435.98, 13.87, 288.38) (441.33, 9.66, 254.57) (8.03, 2.98, 6.97) Truck 16.74764
(435.98, 13.87, 288.38) (441.33, 9.66, 254.57) (8.03, 2.98, 6.97) Truck 16.79457
(435.98, 13.87, 288.38) (441.33, 9.66, 254.57) (8.03, 2.98, 6.97) Truck 16.84506
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.760181
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.986755
í(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.233149
(435.98, 13.87, 288.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.492606
