¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.02114
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44252
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08999
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82141
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.38419
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.16965
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.17138
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.43091
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506681
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.770537
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058139
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372802
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.718348
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.099578
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.522142
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993096
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.515105
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00868
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56154
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18326
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84993
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4256
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0628
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.69431
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.67658
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.66098
(398.85, 13.98, 247.05) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 10.6475
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49824
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99534
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60295
½(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26207
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98766
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.71595
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.32632
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.32808
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.33418
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509431
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.77356
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.061441
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.376391
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.72234
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.103956
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.527025
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.998562
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.527252
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04679
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60582
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23306
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91393
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49617
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14095
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85876
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31314
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72646
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1674
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63872
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1496
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.76934
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44211
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16882
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06282
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.48965
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.49142
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.49756
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512184
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776548
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.064713
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379975
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726287
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.108324
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.531901
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.003971
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533352
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08701
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65077
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28362
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97945
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5685
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22114
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0717
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45389
¼(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85509
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30409
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78428
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.30942
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9419
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62592
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.34516
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.42567
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.65984
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.66161
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.514931
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.779528
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.067971
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.38354
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.730232
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.112674
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.536736
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.009388
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.543844
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11167
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6964
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33504
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0466
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6426
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33401
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23543
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61403
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01631
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44565
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93511
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4751
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12046
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.79483
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52826
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.83978
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.83711
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.83889
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.84512
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.517646
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.782505
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.071228
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.387099
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.734123
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.116991
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541513
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.014739
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.554663
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13291
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7303
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38718
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11542
¿(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71859
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53201
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39248
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77991
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19177
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6304
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.09838
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64679
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28254
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97014
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73446
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.02439
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.02169
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.02348
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.65872
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.520341
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785446
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074441
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390653
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.738009
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121304
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.546294
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.022172
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.565437
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15442
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75449
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4323
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17657
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85082
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7366
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55512
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95176
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37373
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82339
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.30339
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80212
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45061
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.15202
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00466
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.21657
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.21384
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.21565
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.523056
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.78837
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.077643
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.394139
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.741858
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.125584
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.551063
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.031671
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.57616
¸(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1762
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77901
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46007
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23554
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03535
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94812
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72354
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12992
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56245
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01531
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44793
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9565
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62107
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.34081
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28573
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.527569
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.791286
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.080814
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.397659
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.745708
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.129835
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.555775
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.041118
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.586813
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19828
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80383
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48821
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28963
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22576
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16686
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89803
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31456
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74125
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15599
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59651
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11648
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.79407
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53124
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.14534
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.533489
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.797238
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.084569
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401126
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.74954
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13407
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564152
(398.85, 13.98, 247.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.050529
