¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
û(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.93072
(378.99, 15.99, 289.82) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 16.13276
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013888
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330155
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.672356
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.049726
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.46788
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.93371
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.455698
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.922424
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.888579
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.36921
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.69479
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.66485
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.18768
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.72686
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.62306
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.59586
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.48148
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.45472
(378.99, 15.99, 289.82) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 14.74731
(378.99, 15.99, 289.82) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 16.20163
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.016775
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330963
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.673293
ù(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050735
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.469002
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.934975
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.457136
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.04117
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.00692
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 9.974854
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.50584
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.79251
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.30687
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.79846
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.68276
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.65541
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.4954
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.46861
(378.99, 15.99, 289.82) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 14.78227
(378.99, 15.99, 289.82) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 16.2829
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.019546
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331658
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674018
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051579
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.469957
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.93602
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458285
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03429
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.13013
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.09768
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.61959
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 10.92542
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.43071
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.87343
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.74539
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.71787
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.13957
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.48496
(378.99, 15.99, 289.82) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 14.41616
(378.99, 15.99, 289.82) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 15.93711
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.02034
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332203
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674632
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.052245
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.470686
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.936847
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.0839
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.037717
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.25844
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.22558
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.73776
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.06382
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.06321
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.95187
ı(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.81101
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.78332
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.19824
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.50381
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.9011
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.020723
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332614
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.67506
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.052732
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471237
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.937454
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.066368
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.086901
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.39209
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.3588
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.86055
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.20799
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.17892
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.76007
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.87971
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.85184
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.25979
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.52517
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.9169
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.020956
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332896
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675362
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053062
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471604
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.858403
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.14718
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.191763
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.53134
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.49762
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.46615
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.02272
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.32876
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.87434
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.01756
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.9235
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.89789
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.54907
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.93519
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021082
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333007
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675515
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053236
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471773
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.814373
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.780698
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.300715
ÿ(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.341694
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.64231
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.61042
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.15659
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.48493
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 12.02032
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.10577
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.9984
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.9726
(378.99, 15.99, 289.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.57552
(378.99, 15.99, 289.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 14.13444
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021061
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33297
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675504
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053213
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471762
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.93803
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.905143
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.888865
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.439184
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.79317
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.76084
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.2958
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.64777
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.65128
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.19783
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.07662
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.05063
(378.99, 15.99, 289.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 13.78478
(378.99, 15.99, 289.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 14.1832
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.96792
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.020913
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332842
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675346
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053034
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.47155
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.937819
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.034952
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.002333
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.55794
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.95053
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.91774
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.89565
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.81763
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.78939
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.29388
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.15826
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.13207
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.57243
(378.99, 15.99, 289.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 14.235
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 24.00119
€ (378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 23.95276
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 23.96966
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 24.33204
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.020636
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332526
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674982
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.052657
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471178
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.93737
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.170412
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.137313
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.681437
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.752577
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.08148
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.05055
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.63371
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.96624
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 12.54563
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.24341
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.21702
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.65002
(378.99, 15.99, 289.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 13.87336
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 23.82397
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 23.77607
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 23.79301
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 24.15288
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.02027
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332118
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.67453
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.052141
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.470585
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.933043
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.311838
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.278238
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.259236
(378.99, 15.99, 289.82) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.840586
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.25243
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.22103
(378.99, 15.99, 289.82) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 11.79209
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 12.15087
(378.99, 15.99, 289.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 12.71863
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.39353
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.30559
(378.99, 15.99, 289.82) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 12.73098
(378.99, 15.99, 289.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 13.93543
(378.99, 15.99, 289.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.70765
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 23.66627
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 23.62353
(378.99, 15.99, 289.82) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 23.981
