¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(380.05, 14.17, 265.67) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 16.39312
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98077
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79864
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75695
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90599
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27223
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.88032
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.87637
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.87552
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.87777
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.88311
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.89156
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.395864
§(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.594206
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.808861
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.041871
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.294387
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011215
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.340669
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.70732
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.105336
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.544659
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.036217
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.580383
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21921
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.967
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78539
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.733
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8775
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20005
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.67516
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.67106
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.67002
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.67202
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.67709
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.68522
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.392377
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.590438
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.804779
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.037434
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.290352
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006753
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334816
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.700832
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.096008
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.534246
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.024544
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571916
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20753
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95352
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77257
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70958
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84963
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14494
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.4782
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.47395
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.47273
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.47452
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.47932
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.48715
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.388967
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586754
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.800789
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.033099
¼(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713917
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.002396
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.329044
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693759
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.086866
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.524076
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.013103
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.563675
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19605
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94027
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76018
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65299
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82236
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09125
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.42276
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.40685
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.39398
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.38413
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.37728
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.37344
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.385633
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.583155
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.79689
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.445952
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710069
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9982
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323399
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685695
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.07793
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514105
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.00194
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.551048
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18485
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92733
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74825
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59125
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79569
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03894
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.17483
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.16974
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.1676
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.16843
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.17221
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.62465
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.38238
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.579642
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.793085
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.441242
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706383
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.994187
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317875
Ç(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.677778
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.069161
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.504353
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.990988
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.538692
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17386
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91463
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73677
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55896
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76963
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98803
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.02098
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.01579
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.01354
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.01421
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 15.01781
(380.05, 14.17, 265.67) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 15.88735
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.379387
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.576212
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189792
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.435883
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702821
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990292
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.312458
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.670051
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.060581
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.494791
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.980278
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.526607
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16309
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90224
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72567
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52768
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74418
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.88124
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.87306
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.86779
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.86542
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.86596
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.86938
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.376298
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.572868
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.18495
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.430655
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.698009
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986554
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30716
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.662482
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.052212
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.485456
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.969819
Ç(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.514797
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14684
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89009
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71506
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49741
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6734
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.73908
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.73085
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.72551
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.72303
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.72343
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.7267
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.372872
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.954123
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.180226
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425517
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.692417
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982952
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301963
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.655082
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044025
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.476324
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.959598
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.503252
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13064
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8782
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7049
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46811
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60131
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.6704
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.6518
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.6361
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.62328
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.61333
(380.05, 14.17, 265.67) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 14.60624
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.369521
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.949863
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.175633
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420522
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.686972
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.977934
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296854
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.647864
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.036018
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.46743
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.949604
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.491991
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11469
(380.05, 14.17, 265.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86662
