¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(423.87, 14.62, 253.70) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 10.90363
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 8.85384
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 9.077909
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 9.315466
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.907203
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.891964
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.878697
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.867384
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.858019
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.85059
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.845091
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.841513
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.839857
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.840117
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 10.13712
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287069
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578429
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.895663
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.206743
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.553903
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98536
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 9.245436
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 9.484416
(423.87, 14.62, 253.70) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 9.738028
(423.87, 14.62, 253.70) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 10.0348
(423.87, 14.62, 253.70) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 10.29454
(423.87, 14.62, 253.70) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 10.60058
(423.87, 14.62, 253.70) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 10.92756
(423.87, 14.62, 253.70) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 11.51439
(423.87, 14.62, 253.70) (408.85, 7.58, 231.71) (2.09, 1.13, 2.18) Tools 11.49034
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.901089
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.885857
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 9.880511
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 10.26942
(423.87, 14.62, 253.70) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 10.69238
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.304179
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.597018
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.915943
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.228475
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.563875
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98658
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.465971
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15525
(423.87, 14.62, 253.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46358
