¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.837065
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.43711
(401.17, 14.20, 244.00) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.64219
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31639
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.60188
(401.17, 14.20, 244.00) (391.25, 9.05, 278.19) (1.16, 1.75, 0.90) Tools 24.27209
(401.17, 14.20, 244.00) (391.25, 9.05, 278.19) (1.16, 1.75, 0.90) Tools 24.48413
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.985824
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.214246
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.462112
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.730754
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.017507
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331197
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675906
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.0562
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.979313
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.856688
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.831012
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.807021
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.784688
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.763992
(401.17, 14.20, 244.00) (390.05, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 11.16895
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.288264
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.268021
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.249663
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.480724
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 10.75189
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.80595
(401.17, 14.20, 244.00) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 12.97131
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36669
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.41177
(401.17, 14.20, 244.00) (391.25, 9.05, 278.19) (1.16, 1.75, 0.90) Tools 24.289
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.991871
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.220815
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.469242
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.739714
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.02904
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.343853
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.689785
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.07158
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.031374
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.90383
ñ(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.87799
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.853844
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.831368
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.810539
(401.17, 14.20, 244.00) (390.05, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.28806
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.236263
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.216148
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.197912
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.77754
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.919648
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 12.20171
(401.17, 14.20, 244.00) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 13.32071
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.42061
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.06445
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.65153
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.998016
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.227447
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.476456
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.747587
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040703
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356617
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.703876
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.087134
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.08587
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.953105
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.927094
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.902788
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.880162
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.859192
(401.17, 14.20, 244.00) (390.05, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.52897
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.388144
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.166639
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.148515
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.132239
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.22698
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.52818
(401.17, 14.20, 244.00) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 13.6922
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47818
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.70721
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.28414
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.004219
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.234167
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.483761
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.755559
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.052496
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.369584
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.718088
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.102868
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.142879
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.0642
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.978383
î(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.953909
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.931127
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.910012
(401.17, 14.20, 244.00) (390.05, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.54458
(401.17, 14.20, 244.00) (390.05, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.79401
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.489852
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.466828
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.445753
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.57765
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 11.9753
(401.17, 14.20, 244.00) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 14.08784
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53945
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95449
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.93151
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01046
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.240934
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491123
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.763578
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.061344
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.382669
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.732527
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118793
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.202477
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.122842
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.03192
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.007271
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.984325
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.963058
(401.17, 14.20, 244.00) (390.05, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.36293
(401.17, 14.20, 244.00) (390.05, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.34022
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.09659
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.851731
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.829496
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 9.809269
(401.17, 14.20, 244.00) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 12.46104
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75633
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.60447
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04645
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.46961
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.016778
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.247762
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.498551
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.771654
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07021
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395874
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747073
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.134937
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.551021
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.18411
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.087775
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.062943
æ(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.039824
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.018398
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.486773
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0521
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.6123
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.27136
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.24783
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.2264
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 11.53376
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72497
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67334
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.09157
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.0227
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.023094
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254662
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506031
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.779832
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.079145
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407582
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.761793
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151223
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.569398
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.248092
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.146013
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.120991
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.097694
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.076102
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.530503
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1125
(401.17, 14.20, 244.00) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 13.16221
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.93781
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.70555
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 10.68277
(401.17, 14.20, 244.00) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 11.98919
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69662
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.65481
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89055
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59713
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.029546
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261631
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513585
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.788063
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.088148
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417527
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.776672
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167708
(401.17, 14.20, 244.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.587988
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.314881
(401.17, 14.20, 244.00) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.206717
