¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.49469
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08645
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.04939
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.81877
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.25196
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.5976
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.54082
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.53346
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.53076
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.53271
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.53946
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.55219
(363.70, 7.12, 353.08) (332.28, 1.44, 368.85) (0.81, 2.16, 0.81) Human 18.78251
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.540693
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753812
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.985196
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.23461
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.500448
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.791347
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.115557
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.450783
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.813047
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.228695
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.838228
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.496469
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69661
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19558
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7458
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65457
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09274
†(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02458
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.69968
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.0895
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.3325
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.527501
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.739516
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.969655
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.217282
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.481532
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.770619
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.093871
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.425451
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.7851
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.205291
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.811151
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.45609
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12469
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19894
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7495
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75273
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10035
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97126
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.58258
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.92582
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.1098
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.51441
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.725333
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95424
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.200133
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.462817
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.750116
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.072381
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.400499
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.75758
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.181844
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.784038
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.416169
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07882
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20323
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75425
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85067
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10925
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97625
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.72852
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.76546
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.9697
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.50142
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.711262
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.938951
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183167
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444304
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.72984
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.051093
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.375921
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.730483
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.158358
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.756888
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.376705
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03349
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65265
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75998
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94829
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11943
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98304
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.92506
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.60833
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.83096
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.488534
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.697306
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.92379
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.16638
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.425993
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70979
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.030006
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351716
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.703807
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.134839
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.729716
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.337696
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.988725
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59963
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24491
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04558
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12865
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99126
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.17144
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.45438
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.6936
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.475752
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.683466
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.908758
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.149776
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.407886
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.689972
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009124
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.327887
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.677555
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.111296
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.702527
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.299144
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.944506
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54775
Š(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19458
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14243
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1349
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00086
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39428
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.30354
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.55763
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.5188
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.463077
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.669743
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.893857
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133356
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.389983
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.670379
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.988446
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.304431
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.651721
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.087733
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.675326
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.261049
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.900838
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49699
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14531
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.90176
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14251
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01187
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27841
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.15575
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.42306
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.22718
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.450508
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.656141
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.879089
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.11712
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.372286
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.651019
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.967544
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.281346
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.626304
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.064157
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.648123
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.223414
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.857718
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44734
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0971
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84669
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15149
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02427
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1645
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.05843
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.28458
ö(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.94323
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.438049
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.642659
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.864455
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.10107
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.354795
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632467
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.946818
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.258631
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.601303
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.040572
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.620921
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.186234
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.815148
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39878
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04994
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79284
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16175
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03813
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07868
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.296
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.12875
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.66672
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.4257
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.629298
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.849956
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.085206
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.337512
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.614261
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.926425
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.236285
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.576717
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.016988
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593732
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.149511
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.773128
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3513
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0038
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7402
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17332
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0534
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08879
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.58721
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.97611
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.3974
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.413463
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.61606
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.835594
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.06953
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.320436
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.59624
û(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.90636
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.214308
(363.70, 7.12, 353.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.553165
