¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.495783
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.723963
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095682
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503025
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.933028
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.402681
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.383323
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.909445
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.933397
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.974339
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.04387
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.116384
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.19204
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.271011
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.353479
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.439648
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.529732
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.623964
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.722598
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.82591
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.934198
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.047791
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.844333
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.053213
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.278821
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.523228
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.788805
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078362
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390655
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.728797
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.100997
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.498843
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.615279
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.633238
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.68626
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.744998
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.806177
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.869915
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.936342
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.005595
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.077824
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.153186
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.231854
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.314015
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.399865
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.489624
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.583522
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.716138
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.893725
 (378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.083925
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.846167
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05514
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28096
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.525524
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.791313
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.081098
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.353759
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.365787
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.391117
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.439035
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.488897
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.540786
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.594796
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.651024
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.709573
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.770558
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.834099
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.900322
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.969368
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.041383
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.116529
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.194978
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.286425
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.434867
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.593009
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.761786
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.942261
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.135643
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.848099
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.057262
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.283178
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.145378
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.153213
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.184854
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.225662
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.268114
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.312278
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.358223
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.406027
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.45577
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.507536
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.561419
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.617517
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.675936
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.736787
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.800191
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.866276
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.935181
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.051296
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.184681
 (378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.326369
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.477116
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.637774
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.80931
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.992817
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.189541
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.207015
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.144261
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.084137
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.040716
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.0769
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.114549
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.153716
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.194461
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.23685
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.280946
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.326821
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.374552
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.424222
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.475914
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.529722
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.585744
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.644086
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.726602
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.840458
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.960927
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.088562
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.223983
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.367887
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.521047
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.684346
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.858777
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.281835
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.121726
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.224984
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.161784
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.101236
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.0432
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.010984
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.047147
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.084772
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.123915
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.164635
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.206995
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.251063
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.296911
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.344615
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.394256
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.448843
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.547012
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.650539
  (378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.75984
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.875374
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.997656
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.127255
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.264808
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.411029
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.56672
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.199528
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.011266
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.005035
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.017428
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.244133
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.180456
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.119454
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.060987
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.004925
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.982492
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.018666
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.056301
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.095454
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.136184
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.178555
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.222635
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.294494
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.384267
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.478767
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.578341
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.683376
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.794302
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.911589
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.035767
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.167419
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.307202
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.12506
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.940051
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.895361
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.897663
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.929818
(378.99, 15.87, 285.24) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 4.963371
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.264487
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.200303
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.138816
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.079888
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.023387
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.969194
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.955246
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 3.991463
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.029141
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.075468
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.153913
