¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(431.74, 14.05, 336.58) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 13.62924
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1394
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17116
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40587
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91204
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.82763
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 19.96224
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 20.01275
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 20.06742
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.034245
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.270099
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512712
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776162
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0633
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377335
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.72218
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.102541
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.49289
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.921699
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44429
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05822
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7402
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43566
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22403
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10955
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13634
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35336
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84868
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.73773
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 20.10931
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 20.16069
(431.74, 14.05, 336.58) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 20.21629
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.035249
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.27957
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.522935
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.787354
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.075498
µ(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390697
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.736864
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.113277
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.502098
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.931899
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.436403
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04925
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7155
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40759
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19781
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0805
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1025
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30202
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78683
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62137
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.18849
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73189
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.036229
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28228
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.533336
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.798632
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.08782
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.404191
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.751723
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121918
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.511608
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.942444
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.42863
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04042
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69133
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38013
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16635
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05223
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0696
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26218
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72641
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52054
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04821
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.57473
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.037187
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.283335
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543829
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810023
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.100272
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417842
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.766754
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.130822
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.52142
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.953276
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.433207
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03177
Á(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66767
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35329
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13561
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02475
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03765
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22451
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.66746
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.44821
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.91091
(431.74, 14.05, 336.58) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.87607
(431.74, 14.05, 336.58) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.84097
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038121
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28435
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.552832
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821588
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112879
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.431648
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.781972
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.139915
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.531498
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.964443
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44564
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02328
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64457
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32704
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11629
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99811
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00663
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18799
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60997
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37773
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.7765
(431.74, 14.05, 336.58) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 20.95663
(431.74, 14.05, 336.58) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 21.02405
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.039053
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.285371
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.553926
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833256
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125606
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445624
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792762
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149321
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541847
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.975911
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458412
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01495
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62274
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31608
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10874
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9765
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97652
Ä(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15256
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55394
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30903
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.64495
(431.74, 14.05, 336.58) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 21.18398
(431.74, 14.05, 336.58) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 21.25303
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.039956
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.286329
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.555011
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845045
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.138517
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.459768
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.801546
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.159007
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.552491
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.987718
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.471561
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00979
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61738
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30993
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10172
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95903
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94735
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11825
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50723
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23322
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51623
(431.74, 14.05, 336.58) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 21.42047
(431.74, 14.05, 336.58) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 21.49124
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.040837
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.287313
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.556063
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.850206
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.151558
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.474052
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810556
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.168884
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.563417
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.999818
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.485019
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01818
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61237
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30428
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09519
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94238
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9191
(431.74, 14.05, 336.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08501
