¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
† (401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.925999
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.895138
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.870517
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.847404
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.825769
Š (401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.805595
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.786858
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.769541
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.753625
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.739094
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.725935
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.71413
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.703675
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.694554
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.68676
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.680285
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.675123
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.671267
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.668716
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.953025
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.952692
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.102787
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.342401
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59743
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801017
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.016164
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.880581
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.851722
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.82443
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.798674
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.774426
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.751663
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.730361
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.710495
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.692048
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.674999
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.659333
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.645031
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.632083
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.620471
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.610187
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.601221
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.593561
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.587203
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.582138
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.578363
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.575873
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.788302
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.788029
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.096294
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.335327
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.585348
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.813323
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.02931
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.786876
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.758438
• (401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.731542
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.706165
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.682276
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.659848
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.638861
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.619293
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.601122
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.584332
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.568903
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.554822
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.542073
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.530646
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.520526
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.511706
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.504174
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.497928
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.492957
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.489257
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.486826
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.630792
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.630571
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.089831
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.328341
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573397
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826037
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.726571
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.696982
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.668946
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.642434
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.617418
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.59387
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.571765
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.551082
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.531796
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.513891
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.497346
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.482146
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.468275
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.455719
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.444466
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.434504
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.425824
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.418416
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.412274
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.407393
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.403766
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.40139
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.480085
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.479917
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.083394
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.320157
Œ (401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.561598
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.823628
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.639901
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.610719
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.58307
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.556924
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.532254
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.509032
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.487236
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.466842
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.447829
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.430177
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.413868
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.398886
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.385217
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.372845
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.361759
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.351947
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.3434
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.33611
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.330069
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.325272
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.321712
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.31939
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.335815
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.335691
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077028
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.30938
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549943
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810977
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.556704
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.527912
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.500633
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.474838
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.4505
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.427593
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.406093
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.385976
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.367222
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.349813
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.33373
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.318957
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.30548
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.293284
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.282359
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.272689
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.264271
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.257093
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.25115
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.246434
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.242939
 (401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.240666
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.197637
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.197557
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.070658
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29874
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.538409
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.798463
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.534466
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.508718
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.484432
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.46158
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.440141
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.42009
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.401409
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.384076
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.368075
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.353391
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.340006
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.327909
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.317087
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.307528
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.299226
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.292171
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.286355
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.281774
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.278423
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.276299
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.275396
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.27572
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.29215
(401.44, 14.17, 246.12) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.295901
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.064343
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.288243
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.527078
(401.44, 14.17, 246.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786109
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.642502
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.616346
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.591675
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.568463
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.546687
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.52632
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.507346
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.489744
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.473495
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.458582
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.444993
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.432712
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.421726
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.412027
(401.44, 14.17, 246.12) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.403602
