¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.963183
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.98048
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.983739
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.98778
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.205788
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.384164
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.576185
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.776791
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.993581
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.584955
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.205826
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.127422
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.09964
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.073589
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.05957
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.046434
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.034166
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.023543
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.017414
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.012084
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.00755
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.003805
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.000846
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.99867
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.997277
ê(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.996662
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.996827
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.997771
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 3.999496
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.002003
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.005294
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.009373
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.196537
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.374221
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.56561
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.765561
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.981441
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.685811
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.290878
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.153101
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.125063
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.098194
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.082731
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.069511
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.057165
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.046011
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.039865
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.034523
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.029979
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.026229
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.02327
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.0211
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.019714
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.019112
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.019294
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.02026
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.022011
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.024548
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.027874
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.031993
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.187447
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.364449
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.55508
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.75456
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.969551
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.793753
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.381575
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.179967
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.151659
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.124531
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.106967
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.093659
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.081231
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.069668
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.063358
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.058002
á(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.053449
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.049695
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.046736
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.044569
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.043193
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.042605
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.042806
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.043795
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.045573
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.048142
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.051506
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.055665
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.178513
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.354849
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.544736
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.743787
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.957908
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.190264
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.478414
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.208057
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.179466
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.152065
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.132307
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.118908
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.106393
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.09475
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.087921
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.082551
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.077989
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.07423
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.071271
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.06911
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.067743
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.06717
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.067389
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.068403
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.07021
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.072814
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.076215
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.080418
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.169738
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.345421
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.534581
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.733243
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.946517
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17752
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.581927
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.237407
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.208519
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.180831
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.158783
à(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.145287
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.132682
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.120955
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.113583
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.108198
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.103627
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.099864
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.096906
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.09475
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.093393
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.092835
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.093076
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.094114
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.095952
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.098591
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.102033
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.106282
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.161417
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.336164
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.524611
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.722927
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.935371
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.165444
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.692737
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.298886
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.238855
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.210867
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.186426
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.17283
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.160131
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.148315
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.140375
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.134975
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.130394
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.126627
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.12367
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.12152
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.120174
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.119633
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.119895
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.12096
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.12283
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.125506
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.128992
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.133288
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.153413
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.327081
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.514828
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.71284
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.924476
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.153639
ú(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.811527
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.398737
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.270518
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.242215
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.21527
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.201569
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.188772
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.176863
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.168329
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.162914
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.158324
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.154552
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.151596
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.149452
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.148119
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.147595
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.14788
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.148973
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.150877
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.153592
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.157122
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.16147
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.145581
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.318169
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.505233
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.702981
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.913825
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.142104
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.939093
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.505516
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.303548
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.274916
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.247483
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.231543
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.218641
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.206637
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.197481
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.19205
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.18745
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.183674
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.180719
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.178582
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.177262
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.176757
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.177065
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.178189
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.180128
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.182884
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.186461
(431.27, 10.26, 363.16) (408.12, 2.26, 366.19) (8.55, 3.34, 4.11) Truck 4.190863
(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.13792
Ü(431.27, 10.26, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.30943
