°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07819
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08084
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27965
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48006
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73717
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06673
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41646
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78813
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07228
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33989
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.025815
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.354732
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.717539
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.119661
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.567756
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.07313
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2313
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82133
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04827
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28716
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53893
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80453
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04211
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23227
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43101
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65871
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98396
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32908
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69578
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94807
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21083
œ(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48652
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.019097
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.347335
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.709355
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.110562
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.558526
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.065434
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22642
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82587
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05305
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29216
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54416
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81006
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99846
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18711
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38429
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59042
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90414
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24483
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58225
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82842
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08648
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35722
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.012198
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.339737
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.700953
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.101219
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.551391
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057397
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.62905
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8317
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05913
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29854
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55085
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77759
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95688
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14418
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33983
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54434
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82721
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16363
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47114
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71313
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96679
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2328
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.512
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.005118
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.331943
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.692329
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.093781
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.543954
’(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.04902
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.619545
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83878
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06648
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30627
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55897
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73941
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91745
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10334
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29756
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50062
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.753
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08538
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36409
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60209
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85147
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11298
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38737
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.997861
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.323954
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.683883
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.086868
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.536218
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.040308
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.609663
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84268
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0752
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31536
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53374
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70317
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88002
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06463
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25754
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45915
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68157
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01006
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26099
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49512
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74045
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99766
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26746
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55078
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.990427
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.315772
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.677431
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.079689
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.528185
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.03126
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.599401
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83603
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08521
‹(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32585
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50056
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66891
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8446
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02803
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21968
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41999
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62944
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93755
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16164
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39215
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63358
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88665
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15209
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43074
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982823
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.308642
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.670744
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.072249
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.51986
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.021888
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.588772
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82912
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09651
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30881
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46923
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63654
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81116
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9935
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18394
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38297
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59114
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84906
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06599
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29301
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53077
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80446
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10404
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41973
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.975048
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.302388
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.663821
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.064549
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.511245
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.01219
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.577773
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82194
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10915
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28021
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43971
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60609
ﬂ(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77971
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96096
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1503
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34818
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55507
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78938
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03626
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29548
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56792
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85449
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15628
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46857
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.968941
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.295924
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.656667
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.056592
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.502344
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.002168
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.566413
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81448
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10119
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25338
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41204
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57751
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75211
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94608
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14901
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36136
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58489
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83425
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08291
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34407
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61856
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90738
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21153
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51645
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.962885
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.289252
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.649287
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.048381
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.493162
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.991833
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.554696
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80678
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07985
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24358
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41448
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59298
(342.40, 7.02, 370.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77947
