¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.692207
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.796143
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.776702
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.758869
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.742639
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.72796
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.714846
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.703293
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.693247
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.684734
Ö(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.677748
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.672232
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.668257
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.680702
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.728447
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.835301
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.331336
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616159
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929913
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276396
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.660925
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.090022
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.571813
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.978759
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.895127
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.863353
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.842125
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.822542
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.804573
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.788192
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.773405
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.760164
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.748503
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.738374
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.729765
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.72268
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.717121
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.71306
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.727407
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.783923
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.936879
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.331842
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616722
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.930532
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277082
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.661689
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.090878
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.572777
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.121219
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 8.009237
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.963658
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.942124
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.922225
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.903982
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.887337
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.872318
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.858849
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.846976
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.836667
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.827923
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.820723
²(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.815027
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.810862
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.831991
(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.933698
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.332222
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.617138
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.930992
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277592
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.662256
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.091511
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.573494
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.12202
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.757764
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5058
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38874
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.46321
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85706
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.03287
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.33247
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.617408
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.93129
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277923
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.662623
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.091925
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.573958
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.122506
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.758814
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50695
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38986
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.46289
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85605
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.00542
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.332588
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.617532
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.931427
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.278072
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.662792
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.092113
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.574172
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.122682
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.759465
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5076
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39025
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.46186
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85369
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96389
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.332578
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.61751
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.931403
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.278046
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.662764
 (436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.09208
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.574135
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.122546
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.759718
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50775
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38992
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.46012
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.91559
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.332436
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.617343
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.931217
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277842
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.662536
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.091825
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.573847
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.122097
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.759573
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50739
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38936
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45768
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.84497
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.86063
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.332165
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.617028
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.930872
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.277458
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.662107
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.091347
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.573309
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.121337
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.759027
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50653
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38835
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45452
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83861
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.79918
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.331763
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616568
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.930364
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276897
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.661483
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.090647
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.572519
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.120265
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.758085
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50517
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38674
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45067
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83092
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.76758
 (436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.331234
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615963
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929696
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276158
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.660658
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.089725
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.571482
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.118882
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.756745
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50331
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38455
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.44611
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.82191
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.74772
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.330573
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615209
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.928866
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.275239
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.659636
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.088579
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.570192
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.117185
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.755008
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50094
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38176
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.44085
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.81159
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.7257
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.329785
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.614313
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.927878
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.274144
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.658418
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.087216
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.568654
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.115185
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.752875
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49807
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37838
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4349
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.79996
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.70154
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.328866
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.61327
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.926728
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.272871
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.656999
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.085629
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.566865
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.11287
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.750343
£(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.49471
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37442
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42825
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.78703
(436.69, 14.02, 296.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.67526
