¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.312628
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.102605
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.462414
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.865897
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.316334
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.82514
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06605
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78914
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61649
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58391
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69018
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92691
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.46219
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.21998
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.29863
í(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.66903
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.97395
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960759
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208935
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.4793
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.775506
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.103016
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.463388
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.866983
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.318055
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.445511
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07329
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79882
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62775
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59719
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69692
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94791
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48982
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23878
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.34118
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.36405
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960824
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.209002
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.479891
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.775825
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10337
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.464292
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.867992
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902432
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.447489
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08027
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80839
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63885
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61024
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70362
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96885
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51764
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25799
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38397
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.03857
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960845
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.209026
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.480092
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.77609
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.103663
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.465128
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.868923
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.90407
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.449337
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08704
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81775
Ÿ(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64977
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62309
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71026
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98973
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54561
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27757
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.42705
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.09413
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960825
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.209006
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.480069
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.776303
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.103897
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.465893
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.421198
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.905587
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.451077
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09358
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82702
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66053
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63576
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71684
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01051
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57366
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29756
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47037
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.15001
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960766
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208941
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.479999
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.776459
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.104068
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.989419
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.42248
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.907038
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452681
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09988
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83609
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67107
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64818
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72949
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03118
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6019
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 17.38028
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 17.35567
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 17.33449
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 17.31674
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 17.3024
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 17.29145
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960667
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208833
³(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.479879
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.776559
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.104179
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.99049
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423686
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.908356
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.45419
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10593
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.845
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68146
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65511
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74664
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05178
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6302
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 16.72404
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 16.7002
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 16.67967
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 16.66244
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 16.64848
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 16.63779
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960527
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208681
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.479712
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.776607
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.601973
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.991487
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.424805
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909624
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.455632
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11171
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85373
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69162
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66644
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7637
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.41152
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.38512
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.36161
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.34098
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.32319
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.30823
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.29608
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 16.60018
(433.53, 15.07, 250.30) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 24.99515
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960346
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208484
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.479497
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.776598
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602799
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.992409
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425811
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.910776
Ğ(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458865
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11729
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86233
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7016
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68076
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78063
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.35736
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.33105
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.30762
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.28704
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.26931
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.2544
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.24228
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 16.69185
(433.53, 15.07, 250.30) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 24.5515
(433.53, 15.07, 250.30) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 24.80735
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960126
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.208242
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.479234
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.251457
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603549
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.993238
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.426749
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.911831
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.463482
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12262
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87075
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70656
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69503
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79751
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.30637
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.28014
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.25679
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.23628
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.21859
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.20372
(433.53, 15.07, 250.30) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 14.19164
(433.53, 15.07, 250.30) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 16.78783
(433.53, 15.07, 250.30) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 24.76952
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.960056
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.207958
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.932393
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.252076
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604257
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.994006
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.42761
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.912802
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467909
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12768
(433.53, 15.07, 250.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87896
