¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¸(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.05135
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.79433
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.78207
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.77291
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.76683
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.76383
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.7639
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.76704
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.77326
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260803
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487477
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.732537
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.998277
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287297
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602775
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.948437
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323311
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.731884
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184481
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.687183
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22311
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77505
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30474
¿(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89166
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54541
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75228
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9177
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.0882
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.06944
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.05386
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.04143
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.03214
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.02599
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.02296
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.02306
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.02628
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.03263
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253501
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.479596
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.724018
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989012
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.277233
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.591771
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.936358
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.30797
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.714947
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165699
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.667593
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20901
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73767
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26351
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84593
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49446
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7154
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89038
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.36015
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.3411
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.32529
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.31268
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.30326
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.29703
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.29398
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.29411
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.29741
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.3039
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.246337
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471858
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.71562
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.979907
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267316
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.580957
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.924494
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292912
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.698325
¾(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.14725
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.647028
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19531
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70135
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22346
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80153
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47023
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67798
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81722
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.64476
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.62541
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.60935
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.59655
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.587
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.5807
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.57762
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.57779
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.58118
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.58781
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.239279
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.46423
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.707406
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970989
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257584
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570299
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911648
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278123
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.681986
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129107
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.626817
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1821
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66895
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20832
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80753
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47702
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63993
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74041
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.94279
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.92314
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.90682
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.89383
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.88414
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.87775
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.87466
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.87485
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.87834
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.88512
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.232306
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.45671
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.699282
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96215
»(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248004
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.559839
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.898431
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.263618
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66594
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.111343
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.607017
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16062
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67463
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21459
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81453
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48486
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60135
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66418
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74464
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.23515
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.21857
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.20536
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.19554
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.18906
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.18595
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.18618
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.18977
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.19671
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.225498
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.449376
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691288
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.95351
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238596
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.549559
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.885456
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.249362
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650246
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.093918
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.587559
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13389
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68107
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22171
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82244
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53991
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63213
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58846
(341.61, 6.91, 371.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68612
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.56237
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.54551
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.53209
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.52211
(341.61, 6.91, 371.85) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.51555
