¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.21059
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.058041
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.311685
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.584433
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.881228
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.210496
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.565697
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.955929
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.381718
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.84229
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.358349
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.940438
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60194
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36014
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23771
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.26502
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40042
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96201
¸(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.86017
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47611
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.84224
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.72923
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.60174
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.50461
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.41191
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.32355
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.403429
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602384
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.81625
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.048408
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.301185
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.573243
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.868988
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.197006
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.551403
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.940057
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.365344
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.824018
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.337831
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.917233
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57549
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32972
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.20235
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2234
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3476
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8979
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.6682
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.37315
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.77512
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.77571
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.77974
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.68065
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.58607
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.49589
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.395848
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.594301
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.807497
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.038902
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.290823
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.562232
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.856932
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.183725
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.537379
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.924482
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.349361
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.806186
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.31781
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.894598
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5497
¿(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30006
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16789
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.18288
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29617
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83556
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48214
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.18749
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.99755
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 18.0325
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.99614
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.89294
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.79438
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 17.70032
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.388355
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586324
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.798862
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.029525
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.280602
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.551404
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.845063
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.17065
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523624
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.909204
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.333769
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.788792
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.298287
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.872532
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.52456
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27116
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13433
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14343
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24618
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7749
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30166
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.00774
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.94167
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 19.06307
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 18.48553
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 18.50199
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 18.53615
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 18.59113
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.380951
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.578457
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.790345
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.020277
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.270525
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.540758
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.833381
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.157786
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.51014
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.894228
µ(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.318564
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.771834
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.279259
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.851031
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50008
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24302
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10166
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.10505
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.19757
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71598
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2868
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.81779
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86964
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 20.26274
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 19.66323
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 19.68197
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 19.70872
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 19.77053
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.373635
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.570699
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.781946
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.011158
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.260592
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.530295
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.821889
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.14513
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496927
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.879544
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.303747
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.755314
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.260723
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.830093
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47624
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21564
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.06988
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.06773
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1503
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.65876
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29176
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64631
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.80077
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 21.63912
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 21.65444
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 21.72736
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 21.8967
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.366409
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.563051
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.773668
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00217
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.2508
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.520015
¤(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.810586
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.132686
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.483985
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.86516
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.289318
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.739228
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.24268
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.809714
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45304
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18901
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.03898
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85624
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10438
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60317
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29909
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.65474
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.73502
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 23.22409
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 23.22647
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 23.24883
(337.02, 7.85, 344.58) (328.56, 1.91, 308.38) (7.08, 2.96, 7.96) Truck 23.34017
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.359274
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.555512
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.76551
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.993314
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241153
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.509917
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.799471
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.12045
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.471312
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.851073
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.273926
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.723573
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.225126
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.789893
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43049
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16312
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00895
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81881
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05984
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54929
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30872
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.61627
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.6723
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.352229
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.548084
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.757471
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.984588
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.231652
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.500004
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788547
‘(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.108427
(337.02, 7.85, 344.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.45891
