¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.16985
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.89783
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.25699
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.11328
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.23067
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.20876
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.1914
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.17859
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.1703
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.448191
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.635604
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.837627
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.055853
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.292328
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549313
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.829609
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.1364
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.473562
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845798
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.258729
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.719349
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.236273
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.820437
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48562
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24981
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13673
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17826
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41836
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9081
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75372
¢(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.0238
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.96017
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.24399
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.22206
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.20468
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.19185
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.18355
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.437341
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.623986
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.825048
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.042288
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.277581
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.533303
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.812116
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117227
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.452487
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.822481
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.232837
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690427
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.203753
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.783577
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4435
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20129
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08012
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11143
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33831
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79544
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61333
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.79775
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.65124
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.26186
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.2399
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.22251
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.20965
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.20134
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.426686
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.612516
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.812681
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.028921
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263106
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.517557
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794939
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098429
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.431792
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.799616
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20744
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66203
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171824
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747416
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40224
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1537
¤(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02474
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04606
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26007
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69164
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47657
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63637
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.33458
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.28432
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.26232
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.24489
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.23202
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.22368
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.416189
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.601238
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.80055
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.015801
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.248866
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.502095
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.778069
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.079937
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.411465
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.777159
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.182503
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.634144
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.140502
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.711967
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36178
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10711
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9705
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98215
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18361
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60593
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34332
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.4955
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.06489
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.31137
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.28933
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.27186
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.25895
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.25059
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.405875
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.590152
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.788615
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.002863
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.23491
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.486878
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.761467
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.061796
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.391497
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755099
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.158006
¤(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.60681
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.109796
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.677178
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32212
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06147
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91739
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91964
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10894
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52244
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21358
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35876
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.82241
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.34305
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.32096
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.30344
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.29049
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.2821
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.395738
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.57925
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.776848
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.990215
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.221142
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471958
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.745182
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.043916
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.371873
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.733452
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.133966
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.580015
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07969
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.643154
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28328
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01679
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86544
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85851
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03595
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44107
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08711
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22598
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58769
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.37938
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.35723
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.33967
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.32668
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.31824
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.385745
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.568521
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.765318
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.977707
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207644
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.457265
¤(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.729176
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.026425
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352617
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.712173
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.110394
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.553716
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.050136
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609751
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24527
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97307
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81464
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7988
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96469
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.36183
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96401
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.08219
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27874
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.4204
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.39819
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.38057
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.36753
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.35905
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.375937
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.557993
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.753973
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.965474
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.19438
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442878
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713493
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.009257
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333738
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691342
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.087286
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.527925
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.021235
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.577096
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20803
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93028
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76498
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74041
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89513
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28332
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8657
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89797
(349.45, 7.11, 360.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.91094
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.46616
(349.45, 7.11, 360.73) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.44387
