¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.94729
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.197155
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.395219
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.610116
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.847373
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.102876
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.383027
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.695416
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.036604
ä(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.417194
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.841359
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.318802
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.863681
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.484341
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19855
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03001
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8939
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07015
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.86191
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.83812
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.81693
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79829
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.78219
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.76862
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.75757
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.74901
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.74295
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.831485
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.000509
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.182661
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.37953
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.593082
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.828541
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.082284
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.360422
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.670066
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.008521
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.385741
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806112
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.27902
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.817581
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.428738
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13457
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95456
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79709
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99488
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.84109
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.81737
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79622
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.77763
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.76157
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.74804
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.73702
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.72849
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.72246
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.819199
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.98723
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.168365
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.36406
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.576289
ê(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809981
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.061996
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.338159
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.645109
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980881
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.354802
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.771461
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.239931
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.772316
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.376883
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07349
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68381
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70245
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91867
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.82286
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79918
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.77807
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.75952
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.7435
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.73
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71901
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71051
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.7045
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.807078
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.974129
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.154269
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.348809
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.559737
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791684
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.042012
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.316235
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.620543
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.953685
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.32437
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.737395
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.201525
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.72665
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.326008
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75142
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60563
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60996
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8075
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.80717
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.78354
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.76247
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.74395
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.72796
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71449
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.70353
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.69505
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.68906
Ø(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.795124
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.961207
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.140371
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.333776
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.543427
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.773167
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.022331
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.294649
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.596364
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.926931
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.294447
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.703913
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.1638
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.683846
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.959311
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68583
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52909
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5195
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69895
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79403
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.77043
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.74939
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.7309
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71494
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.7015
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.69055
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.68209
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.67612
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.783336
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.948467
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.126672
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.318962
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.527358
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.754904
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00295
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.273402
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.572573
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.900614
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.264647
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.671011
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.126745
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.278223
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.903603
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62157
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45418
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43105
(342.33, 7.27, 370.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.593
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.78342
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.75984
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.73883
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.72037
æ(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.70443
(342.33, 7.27, 370.04) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.691
