¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
£(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28648
(338.57, 7.04, 385.63) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 23.73509
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.72824
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.72601
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056759
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357336
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686211
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047493
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449061
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.908322
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422301
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00134
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64235
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35813
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17974
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18319
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36666
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75016
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9914
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.58503
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.5287
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.71178
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.74838
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.7276
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.71148
 (338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.69999
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.69313
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.69089
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056845
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357429
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686315
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047632
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.448472
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.907689
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.421579
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0005
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64255
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3584
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18181
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39644
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79263
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84914
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.4586
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08932
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.46107
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.71796
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.68703
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.67092
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.65944
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.66273
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.66049
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056854
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357441
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686323
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047647
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44774
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.906858
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420702
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.999468
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64258
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35843
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18005
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19004
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40442
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83481
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89665
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.33463
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.91571
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.62833
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.69222
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.66131
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.6452
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.63373
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.63701
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.63475
 (338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056787
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357379
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.68625
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047573
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446836
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.905847
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419556
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.998162
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64245
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35827
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17984
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19779
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41165
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87669
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94565
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20826
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.7597
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.69653
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.67112
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.65038
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.63428
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.6228
(338.57, 7.04, 385.63) (326.04, 1.25, 348.01) (1.46, 2.50, 0.44) Cabin 23.61593
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.61367
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05666
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357202
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686064
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047363
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446033
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904623
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418175
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.996636
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64211
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35787
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17942
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2051
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41814
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91829
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99622
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.04386
(338.57, 7.04, 385.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63924
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.68006
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.65467
(338.57, 7.04, 385.63) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 23.63393
(338.57, 7.04, 385.63) (324.60, 1.25, 348.44) (1.48, 2.50, 0.50) Cabin 23.61783
(338.57, 7.04, 385.63) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.60635
