¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.31115
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.251178
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.492309
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.754157
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.039446
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351393
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.708768
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.129839
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.601791
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761393
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51757
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73662
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63744
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28835
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15864
ø(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98223
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48331
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 19.24487
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.88587
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.86407
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.96758
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.93893
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.91581
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.89624
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.92461
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.98874
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.06408
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.14345
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.025173
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.247636
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.488469
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.749984
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.034892
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.346406
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.711822
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13365
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.606072
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.764277
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43324
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61761
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59332
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23945
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87423
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90879
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.70729
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.5691
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.74082
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.72002
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.80701
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.72971
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.74205
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.73538
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.76458
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.82761
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.90154
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.97945
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.021976
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244182
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.484725
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.745913
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.030451
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.341545
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.715229
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.137454
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.610344
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.14348
‚(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40247
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49972
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55036
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19183
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59679
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8374
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98167
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.27265
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.60318
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.54325
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.67345
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.56886
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.54398
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.59908
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.6479
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.69463
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.75539
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.82184
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.018859
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240814
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.481077
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.741947
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.026125
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.342761
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.718626
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.141248
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.614608
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.148305
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40579
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3829
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50858
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14555
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32624
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.768
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75427
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.10831
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.55243
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.51142
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.65919
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.5655
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.55818
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.56661
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.59713
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.63289
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.70658
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.7629
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.015823
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.237534
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.477522
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.738083
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.021911
ı(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.345222
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.722014
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.145033
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.61886
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.153118
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.754322
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26727
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46786
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10054
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14784
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70059
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67856
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.95327
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.7876
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.77885
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.35647
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.89847
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.90162
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.90799
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.92571
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.94851
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 16.97824
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.01138
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.012869
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.234343
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.474065
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734325
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.017812
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.347693
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.725396
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.148808
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.623102
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.157915
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.757708
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15281
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4283
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05674
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16156
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63511
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60509
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.41582
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.1409
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.24462
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.24976
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.27281
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.27623
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.2893
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.3092
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.33251
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.35928
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.39258
Ş(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.009997
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.231239
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470703
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.730671
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.013827
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.350172
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.728766
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.152573
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.627333
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.162702
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.761103
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44615
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36898
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01419
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17518
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.53415
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.5338
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.6668
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.63748
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.64643
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.27421
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.49675
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.57536
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.69234
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.70754
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.72621
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.74827
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.77338
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.007209
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.228226
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.467438
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.727122
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.013511
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.352662
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.732126
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.156324
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.63155
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.166086
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.764507
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45006
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22815
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9729
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18874
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.19185
(325.20, 7.19, 391.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46466
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.13541
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.09374
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.09986
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.122
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 17.89481
(325.20, 7.19, 391.79) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 18.14876
