¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.08907
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.93143
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.6612
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.857095
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.064003
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.287332
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.52977
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.811364
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.117828
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.448346
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817942
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.233495
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.69124
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.22671
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.824443
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47719
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.2222
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23428
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1483
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45765
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40283
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97679
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.73964
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.658285
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.851003
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.057442
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.280248
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.523971
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.805028
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.109533
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.439229
¶(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.808831
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.222961
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.67887
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.214914
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.807071
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4563
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.20454
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18744
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30126
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45154
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55638
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18157
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.15542
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.653725
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.845079
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.051062
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.27336
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.518309
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.798842
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.101438
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.430333
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.799926
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.212147
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.667751
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.20336
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.789814
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43589
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18711
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13981
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.25763
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4367
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83177
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.42421
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.24494
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.648366
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.839324
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044864
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.266667
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.512784
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792807
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.093539
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.421655
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.791226
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.201583
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.657744
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.192044
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.772305
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41594
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16992
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10363
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2147
Ã(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42247
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11625
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06973
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.2285
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.643163
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.833735
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.038846
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.260172
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.507397
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.786923
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.085843
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.413199
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.782733
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.191274
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.647947
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.180969
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.755207
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39647
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.15298
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.06827
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15625
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40883
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41026
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.99649
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.20549
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.638115
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.828313
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.033011
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.25387
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.502149
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.780587
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.078344
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.404962
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.774446
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.181217
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.638358
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.167174
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.738516
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37358
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.13628
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.03347
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.10204
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35801
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33679
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.92519
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.18485
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.633223
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.823061
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.027355
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.247767
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.497038
²(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773916
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.071047
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.397089
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.766363
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.171413
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.628984
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.153479
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.722235
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34971
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11981
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.99924
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.05194
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.29144
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23241
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8558
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.16657
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.628488
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.817976
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.021882
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241859
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.492068
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.767428
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.063948
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.38997
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.75849
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.161864
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.619823
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.140109
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.706361
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32645
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10359
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96557
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.00276
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.23128
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12965
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78826
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.16027
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.623909
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.813059
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.01659
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.236149
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.487236
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.761122
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.057052
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.383039
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.750624
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.152571
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.610873
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.127067
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.690893
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30382
·(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08762
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93246
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95447
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.17207
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02851
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.72258
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.16221
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.619487
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.808312
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.01148
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230634
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.482545
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.754999
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.050355
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.376294
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.74248
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.14353
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.602139
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.114349
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.675833
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28179
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07189
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89992
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90708
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.11379
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92898
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.65218
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.1663
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.615222
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.803732
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00655
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225315
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.477993
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.749059
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.043859
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.369737
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.734562
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.134744
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593616
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.101959
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.661178
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26038
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05223
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.86793
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.86057
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.05645
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.64542
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50776
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.17264
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.611114
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.799323
¨(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.001805
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.220195
(388.10, 12.21, 326.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.473583
