°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
∂(341.88, 7.09, 370.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407393
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20747
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7634
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3799
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35211
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3179
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46189
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.19782
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.84304
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.480803
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.758514
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.062528
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.39669
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.768486
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.182527
√(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.644964
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.8308
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5105
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12883
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67656
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28346
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18512
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04719
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96922
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36138
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85131
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.486834
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.765104
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.069759
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.404658
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.774456
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.188051
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.651157
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.839149
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52005
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05518
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59148
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18913
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02129
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7874
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56105
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22239
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85804
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.492796
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.771622
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.076911
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.41254
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.783185
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.194524
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.6572
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.847116
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51323
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02871
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52615
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09681
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86059
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53793
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2825
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59714
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86323
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.498691
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.778066
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.083983
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.420336
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.791816
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.204132
«(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.664309
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.854755
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49287
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00297
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49796
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.042
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65329
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29826
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01541
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02778
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86687
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.504516
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.784434
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.090972
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.428039
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.800347
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.211044
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.668388
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.862121
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47249
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97797
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47053
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01188
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48864
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06323
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75914
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56044
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86896
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.510269
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.790683
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.095336
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.430124
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.799666
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.209575
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.666744
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.861511
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45208
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95366
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44398
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98264
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35542
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82691
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50127
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2534
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1878
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.511354
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.789615
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.094163
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.428833
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.798238
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.207985
∆(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.664966
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.843436
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4317
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93009
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41817
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92874
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22655
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59995
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24947
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97251
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39186
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.510303
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788466
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.092903
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.427444
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.796702
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.206277
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.663054
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.825344
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41135
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90726
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39315
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81033
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10184
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4106
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00793
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7036
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20817
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.50918
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.787238
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.091557
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.425962
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.795061
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.204451
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.661011
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.8073
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39098
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88513
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36895
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69566
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98114
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2834
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77608
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44601
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93677
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71254
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.507982
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.78593
(341.88, 7.09, 370.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.090122
