¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡ (435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.628729
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.892462
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.09236
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.321312
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569482
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839337
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128494
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.437204
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.775481
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.111372
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43071
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.777959
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.15697
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572052
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.808805
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.757157
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.707933
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.968876
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.932138
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.897268
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.864232
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.832992
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.803513
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.775764
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.74972
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.72535
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.702629
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.681535
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.662046
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.901874
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.095067
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.324254
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572681
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842816
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.136392
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445876
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.78499
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10067
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.419065
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.765333
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.143141
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.55691
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.82764
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.775839
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.726468
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.984049
 (435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.947199
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.912223
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.879083
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.847743
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.818169
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.79033
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.764197
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.739744
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.716942
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.695771
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.676209
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.171297
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.097858
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.327264
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575954
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.846366
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.141442
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.454677
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794629
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090406
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.407956
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753229
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129954
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.542515
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.848539
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.796571
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.747038
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.000886
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.963911
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.928816
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.895562
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.864111
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.834432
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.806491
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.780261
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.755713
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.732823
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.711567
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.691922
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.187981
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.100693
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.330323
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579289
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849987
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.14541
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.463662
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.788393
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.080635
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.397388
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.741751
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.117398
™ (435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.542655
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.871527
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.81937
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.769659
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.019404
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.982293
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.947067
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.913684
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.882114
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.852317
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.824265
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.797928
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.773278
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.750288
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.728937
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.709202
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.206326
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.103596
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.333473
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582705
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853702
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149465
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.472783
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.779782
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.071331
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.391598
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749441
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.140982
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571189
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.896626
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.844265
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.794358
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.039621
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.00236
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.966991
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.933471
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.901767
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.871844
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.843668
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.817214
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.792452
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.769353
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.7479
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.728067
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.226355
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106559
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.336699
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586154
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857491
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153611
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.477973
— (435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.780321
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083953
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413918
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.773755
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.167615
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.600468
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.923861
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.871282
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.82116
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.06156
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.024137
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.98861
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.954941
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.923092
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.89303
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.864722
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.83814
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.813255
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.790041
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.768475
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.748533
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.248083
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.109593
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.339951
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589731
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861367
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.159306
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486578
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.799747
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.104984
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436811
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.798717
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.194964
(435.63, 13.90, 289.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.630561
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.953263
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.900445
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.850095
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.085242
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.047645
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.011948
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.978116
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.946112
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.915899
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.887448
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.860727
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.83571
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.812369
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.790681
(435.63, 13.90, 289.37) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.770624
