¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911835
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.55192
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.70447
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.7656
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.82984
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.89726
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.96793
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.04194
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.11937
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607638
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.879536
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.176237
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.413406
Î(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.650702
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901897
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.171808
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.462521
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.776428
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.162045
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01827
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96699
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 13.25414
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 13.30107
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.70514
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.48536
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 13.19643
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605694
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.877399
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.173897
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407658
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.646712
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.897631
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.167229
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.457576
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771103
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.160792
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.978947
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98209
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.65461
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.41924
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.603708
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875249
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.171542
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.402288
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642513
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.893827
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.163145
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.453179
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.766366
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.162486
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.951914
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95706
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.60661
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.35357
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601706
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.873049
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169131
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.397315
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637185
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890474
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15956
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449337
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.762197
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.164038
ù(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.597881
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.57047
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.545073
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.521656
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.500205
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.480693
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.579423
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.5611
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.54567
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.53234
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.52109
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.51191
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.5048
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.49974
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.49673
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.49577
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.49685
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599646
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.870827
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166704
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.392703
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.632254
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.887613
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156475
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.445992
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758626
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.16544
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.558727
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.531427
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.506132
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.482813
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.514355
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.562382
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.612778
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.52731
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.5319
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.53856
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.54728
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.55807
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.57095
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.58593
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.60302
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.62224
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.6436
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.597585
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868588
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.164244
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.38848
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.627749
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884606
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15388
ô(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443211
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.755604
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.166708
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.775373
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.819419
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.865794
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.914554
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.96575
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 10.01944
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 10.07569
(396.40, 13.91, 248.37) (414.30, 7.73, 233.94) (1.88, 1.40, 1.43) Tools 11.06169
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.0676
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.07566
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.0859
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.09832
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.11294
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.12978
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.6621
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.66112
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.66222
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59548
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.866285
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16156
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.38466
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.623641
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.880189
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151785
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.440959
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753175
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.167831
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.838069
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 10.29913
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 10.35151
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 10.40648
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 10.46407
(396.40, 13.91, 248.37) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 10.52438
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 10.70595
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.6882
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.67259
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.6591
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.64772
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.63843
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.63123
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.62611
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.62306
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.6776
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.76817
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.593349
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.863965
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.15834
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.381214
ğ(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.619951
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87623
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.150186
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.439233
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751323
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.1688
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.824459
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78269
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 10.88955
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 10.9518
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.01693
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.08501
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.15612
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.65128
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.69063
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.76698
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.84657
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.92948
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.01583
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.10575
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.19934
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.29675
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.3981
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.591204
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861625
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155461
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378135
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.616666
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872714
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148215
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.438051
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.750049
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.169641
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.82543
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74598
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.4887
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.55959
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.63363
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.71094
(396.40, 13.91, 248.37) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.79159
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.61668
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.96939
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.39674
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.48667
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.5803
(396.40, 13.91, 248.37) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.67777
(396.40, 13.91, 248.37) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.93946
(396.40, 13.91, 248.37) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.93604
(396.40, 13.91, 248.37) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.9946
