¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
” (394.17, 14.88, 307.74) (416.69, 7.96, 307.51) (1.42, 0.85, 0.81) Fence 7.110301
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51168
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55063
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29475
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02841
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15221
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13903
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.28531
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.539945
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.543925
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.548993
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.555153
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.562415
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.570783
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.580264
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.590869
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.602611
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.690794
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.82159
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51034
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54898
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29805
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.30094
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.27579
 (394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.25313
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.23294
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.432606
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.435908
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.440275
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.445712
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.452222
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.459815
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.468497
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.478275
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.489162
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.693242
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.813203
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5084
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54664
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.15669
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.17239
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.19051
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.21107
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.23409
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.35534
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.330235
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.332913
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.336633
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.341402
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.347221
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.354098
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.362041
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.371056
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.381151
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.242038
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.804966
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50593
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52112
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.2869
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.30324
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.32203
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.34328
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.36703
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.39328
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.232528
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.23463
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.237755
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.241906
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.247087
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.253303
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.260561
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.268868
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.380046
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.237821
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.796808
ÿ(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50294
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4695
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31242
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.43929
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.45878
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.48077
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.50528
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.53233
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.14774
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.140769
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.143344
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.146924
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.151514
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.157119
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.163744
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.171395
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.731328
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.233713
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.788781
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4994
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4183
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31873
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.58076
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.60099
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.62376
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.64907
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.67697
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.198374
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.171502
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.145906
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.121554
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.098422
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.076482
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.071306
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.100549
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728665
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229769
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.783503
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49534
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36753
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32574
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.7279
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.74891
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.7725
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.79867
(394.17, 14.88, 307.74) (420.52, 7.96, 303.92) (0.60, 0.85, 1.38) Fence 12.82745
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.251054
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.223899
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.198033
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.173423
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.150044
Ó(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.127874
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.106883
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.102654
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.726053
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.225978
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.779194
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49073
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31715
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31783
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83985
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16058
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.34773
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.19401
(394.17, 14.88, 307.74) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 23.80106
(394.17, 14.88, 307.74) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 24.06094
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.305863
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.278411
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.252263
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.227386
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.203753
(394.17, 14.88, 307.74) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 5.181338
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844073
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.25965
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.723514
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.222304
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.775087
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46786
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26722
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2558
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63722
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88286
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20507
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.09716
(394.17, 14.88, 307.74) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 23.52381
(394.17, 14.88, 307.74) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 23.54184
(394.17, 14.88, 307.74) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 23.5645
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.02429
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.265097
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5273
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.813816
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128083
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.474244
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.842072
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.257391
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.720939
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.218791
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.771107
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42523
(394.17, 14.88, 307.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21768
