¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.353857
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.416928
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.390338
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.365541
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.34251
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.321225
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.301662
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.283801
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.267628
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.253121
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.240271
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.229061
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.219481
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.211524
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.205179
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.200442
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.197308
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.195773
(331.66, 7.40, 369.84) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 8.147127
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.445504
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.703709
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.984848
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.292092
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629814
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.012494
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.437338
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.484032
Ï(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.455495
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.428786
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.40388
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.38075
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.35937
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.339722
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.321784
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.305539
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.290971
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.278065
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.266808
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.257189
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.249199
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.242828
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.238073
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.234928
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.233392
(331.66, 7.40, 369.84) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 8.184526
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447321
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705657
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.987012
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.294452
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.631757
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.013329
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.438223
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.524747
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.496077
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.469245
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.444222
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.420985
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.399508
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.37977
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.361751
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.345432
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.330798
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.317834
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.306527
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.296866
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.28884
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.282446
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.277673
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.274516
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.272975
(331.66, 7.40, 369.84) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 8.223879
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.449137
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.707629
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989141
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296789
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.634352
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.014066
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433876
Ğ(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.567529
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.538719
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.511758
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.486615
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.463265
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.441686
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.421853
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.403748
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.387352
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.372648
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.359625
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.348265
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.33856
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.3305
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.324076
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.319283
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.316116
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.314571
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.265233
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.450931
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.709592
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.991261
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299143
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.63691
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.014769
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425009
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.612427
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.583471
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.556374
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.531106
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.507639
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.48595
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.466018
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.447823
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.431344
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.41657
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.403481
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.392067
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.382316
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.374218
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.367765
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.362951
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.359773
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.358226
(331.66, 7.40, 369.84) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 8.308632
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452733
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.711532
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.993396
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301469
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639489
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.015432
Ì(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.41623
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.659492
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.630384
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.603143
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.577742
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.554152
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.53235
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.512313
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.494024
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.477462
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.46261
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.449455
(331.66, 7.40, 369.84) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.437984
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.428185
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.420048
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.413565
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.40873
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.405539
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.403987
(331.66, 7.40, 369.84) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 8.354127
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454522
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713463
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995532
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30379
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642066
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011829
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.407545
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.708777
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.67951
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.65212
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.626578
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.602859
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.580939
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.560795
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.542406
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.525755
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.510824
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.4976
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.486068
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.476218
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.46804
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.461525
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.456668
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.453464
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.451908
(331.66, 7.40, 369.84) (328.62, 2.56, 346.07) (2.10, 0.13, 2.78) Cabin 8.401737
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456305
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.715421
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997674
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.306131
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.644605
Ñ(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.012928
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.406184
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.760341
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.730906
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.703361
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.677673
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.653819
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.631776
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.611517
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.593024
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.576281
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.561268
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.54797
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.536376
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.526472
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.51825
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.511703
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.506823
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.503604
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.502046
(331.66, 7.40, 369.84) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.451582
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.458097
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717394
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.999799
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.308476
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.647173
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.012878
(331.66, 7.40, 369.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408568
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.814243
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.784633
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.756923
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.731086
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.707092
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.684916
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.66454
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.645941
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.6291
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.613999
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.600627
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.588966
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.579008
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.570742
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.564159
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.559255
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.556022
(331.66, 7.40, 369.84) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 8.55446
