¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(394.91, 13.96, 249.26) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.91894
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.225868
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.369455
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.344266
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.321025
(394.91, 13.96, 249.26) (412.21, 7.73, 232.73) (1.88, 1.40, 1.43) Tools 13.3309
(394.91, 13.96, 249.26) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 14.71743
(394.91, 13.96, 249.26) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 14.70187
(394.91, 13.96, 249.26) (412.23, 7.58, 230.67) (1.90, 1.13, 1.65) Tools 14.68921
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.61217
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.99884
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 13.19214
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551944
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826899
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.127402
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.428329
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684326
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.941205
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217512
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515456
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.837625
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.257958
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.326525
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.301445
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.278302
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.257073
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.237741
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.220282
ù(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.205069
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.56349
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.95598
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.555853
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831168
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132065
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.431601
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706144
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.964604
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.242669
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.542582
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.86693
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.970343
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.944398
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.920339
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.898137
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.877773
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.859225
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.842474
(394.91, 13.96, 249.26) (412.72, 7.73, 235.33) (1.88, 1.40, 1.43) Tools 9.517767
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.51729
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.91293
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.559728
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.835394
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.136698
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.434976
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.728488
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.988589
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268467
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.570391
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.897003
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.933064
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.907221
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.883256
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.86114
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.840855
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.857063
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 8.896659
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.151593
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.47353
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.45991
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.44837
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.43888
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.43145
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.42605
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.42269
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.42137
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.42208
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.42482
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563536
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839547
ú(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.141257
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.438457
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75141
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.013172
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294899
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.598907
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.927845
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.083862
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.117565
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.15331
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.191133
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.231079
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.27319
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.317511
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.364091
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.46207
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.46152
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.46301
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.46654
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.47212
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.47974
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.48943
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.50118
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.515
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 10.53093
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567295
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.843661
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.145764
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442013
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.760005
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.038338
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.32197
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.628116
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.959448
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.455101
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.556181
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.596786
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.639621
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.684741
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.732189
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.782022
(394.91, 13.96, 249.26) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.834294
(394.91, 13.96, 249.26) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.01396
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.01421
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.0166
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.02114
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.02784
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.03669
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.04772
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.06093
(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.07633
õ(394.91, 13.96, 249.26) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.09394
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.571008
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.84771
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150203
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445699
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.764002
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.064116
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.349708
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.65804
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.991838
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.509739
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.17328
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.14589
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.13601
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.18721
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.24093
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.29724
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.3562
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.41789
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.73844
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.72546
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.71479
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.70643
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.70035
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.69656
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.69505
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.70336
(394.91, 13.96, 249.26) (412.21, 9.12, 232.73) (1.88, 1.40, 1.43) Tools 11.72296
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574681
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851698
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154567
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449466
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.768119
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090472
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.378097
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.688689
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.025899
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.565057
(394.91, 13.96, 249.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23322
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.63258
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.68828
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.74668
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.80783
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.87182
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 10.93871
(394.91, 13.96, 249.26) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 11.00859
(394.91, 13.96, 249.26) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.36967
(394.91, 13.96, 249.26) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.3571
(394.91, 13.96, 249.26) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 11.34676
