¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.78115
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.225351
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.803568
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44789
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.12538
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.96968
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.944277
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 9.920934
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.01803
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.14075
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.42999
(329.92, 7.43, 375.13) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 17.04622
(329.92, 7.43, 375.13) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 18.26074
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.57224
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.674947
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.893345
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.130468
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.388771
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.671155
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.981081
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.322706
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.705449
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135773
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.232026
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.80776
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45267
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.34546
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.14084
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.11495
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.09115
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.16882
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.29555
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.55433
(329.92, 7.43, 375.13) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 17.93498
(329.92, 7.43, 375.13) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 18.86028
ß(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85602
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.676553
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.895085
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132361
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.390835
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.673417
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.983567
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.32545
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.710137
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.14102
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.624692
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812085
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45758
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.57802
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.32284
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.29363
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.26936
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.32601
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.45699
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.68311
(329.92, 7.43, 375.13) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 18.92453
(329.92, 7.43, 375.13) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 19.69202
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.68353
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.45024
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.678195
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.896864
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.134295
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.392946
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.675728
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.986108
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.329115
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.714872
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.146317
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.630655
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.178132
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46263
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.82403
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.55759
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.48083
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.45606
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.48995
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.62543
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.81652
(329.92, 7.43, 375.13) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 20.22286
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.18737
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.51777
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86241
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.679873
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.898684
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.136272
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395104
Ù(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.678092
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.988708
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.333243
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.719655
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.151666
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.636681
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.184966
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46779
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.08461
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.80597
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.67708
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.65179
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.66103
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.80129
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.95476
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.48345
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.03274
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.35854
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.6984
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.05306
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.681587
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.90054
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.138293
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.397308
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.680505
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.991361
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.337413
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.724479
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.157065
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.642761
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.191865
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.811966
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2142
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.06913
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.88299
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.85715
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.83964
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 10.98498
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.13648
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.64121
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.9473
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.22306
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.54099
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.89082
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.64672
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.683335
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.902437
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.140354
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.399557
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.682968
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.994071
Ö(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.341629
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.729347
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.162513
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.648899
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.198828
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.819028
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22043
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.34832
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.09922
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.07279
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.04864
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.17698
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.33416
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.80501
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89646
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.17099
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.45679
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.75442
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.09559
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.68512
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.904372
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.142458
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.401851
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.685483
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.997225
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.345887
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.734259
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.16801
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.655089
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.205854
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.826209
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.52736
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.64493
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.34207
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.29943
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.27471
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.37781
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.54102
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.97512
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76281
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12339
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.40799
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.70436
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.01306
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.686939
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.906343
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.144603
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.404193
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.688046
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.001114
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.350189
Õ(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.739212
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.173554
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.661335
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.21294
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.833505
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53575
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.96055
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.64197
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.53784
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.51252
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.58799
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.75766
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 12.15187
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.62194
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.08025
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.36377
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.65897
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.96643
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.75601
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.688793
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.908353
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.146788
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.406577
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.690659
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.005039
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.354552
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.744206
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.179144
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.667634
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.220607
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.840914
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54428
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35832
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.96119
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.78889
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.76293
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.80813
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.98469
(329.92, 7.43, 375.13) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 12.33558
(329.92, 7.43, 375.13) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 18.49969
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.96018
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.32402
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.61819
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.92465
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.97055
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.690681
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.9104
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.149014
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.409007
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.693318
(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009003
Ä(329.92, 7.43, 375.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.359076
