¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ã(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.03748
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.34783
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.60142
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.58097
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854913
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154074
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476672
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.835363
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.231856
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672447
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.153515
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478679
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.826149
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.989889
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.885881
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.860118
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.836398
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.900946
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.981236
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.20336
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.34109
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.21809
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.20778
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.20226
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.27016
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.3851
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575479
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.848869
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147484
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.472644
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830896
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226948
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.666945
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.141704
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.465923
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.80873
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.927836
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.831794
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.806168
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.782574
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.850149
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.929507
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.15563
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.3816
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.25786
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.19139
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.18587
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.19574
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.30923
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.55344
½(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569911
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842845
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.140877
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467595
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826427
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.221965
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.661394
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.130522
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.45117
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.792122
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.868834
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.78019
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.754694
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.731223
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.801562
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.880036
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.1097
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.48761
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.30044
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.18071
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.17188
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.16874
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.23658
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.35322
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.564341
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836802
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.13426
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.460258
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.819127
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215952
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.655796
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.11995
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.436505
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.776281
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.8128
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.731008
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.705638
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.682282
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.755139
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.832772
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.06556
(370.75, 7.08, 352.78) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 13.72136
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.34587
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.22532
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.16029
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.15714
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.16708
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.28235
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.51658
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.558752
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.830653
¹(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.127537
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45294
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811037
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.206989
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646974
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.108213
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.42253
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761266
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.759652
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.684195
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.658945
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.63706
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.710835
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.787667
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 10.02316
(370.75, 7.08, 352.78) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.74462
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.45988
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.27278
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.15606
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.14793
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.14715
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.21461
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.33318
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.553124
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.824519
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.12083
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445555
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.802894
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.197968
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.636943
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.095913
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.409329
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747041
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.709321
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.639701
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.614564
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.595565
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.668606
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.744681
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.982475
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.11484
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.85633
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.32314
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.20552
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.14109
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.1403
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.14992
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.26722
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.49137
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547481
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818367
³(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.114079
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.438159
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794751
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.188906
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.626843
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.084308
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.39683
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.733616
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.66174
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.597474
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.572445
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.556063
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.628413
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.703771
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.943479
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.06845
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.79638
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.44853
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.25788
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.14389
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.13583
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.13741
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.20429
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.32506
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541766
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.812168
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107306
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.430694
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.786521
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.179807
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.616703
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.073334
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.38509
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.720961
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.616841
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.557469
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.532543
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.518522
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.590218
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.664896
(370.75, 7.08, 352.78) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 9.906137
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.02385
(370.75, 7.08, 352.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.73632
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.31321
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.19824
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.13371
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.13529
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.14435
(370.75, 7.08, 352.78) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 12.26391
