¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.09679
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.447721
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.647769
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.867002
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.105378
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.365238
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649558
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.966255
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.323662
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.721313
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.165222
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.670392
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.294216
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.04862
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.94236
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.09755
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.69951
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.20741
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.58228
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.273367
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.461864
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.663205
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.883921
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.123782
Ä(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385328
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.671571
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.991886
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.352096
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.753028
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.201872
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.711847
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.340389
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.08529
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82038
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06895
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.662
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.45427
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.90213
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.286647
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.476181
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.679005
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.901057
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.142426
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405684
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.693883
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.017837
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.380896
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.785168
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.23902
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.753893
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11316
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92568
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91565
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17156
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14382
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.70643
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.20188
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.300084
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.490672
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.694999
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.918407
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.161309
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.426307
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716492
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.044107
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.41006
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817729
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.276675
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.468588
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17538
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99854
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01245
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27555
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27909
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.98239
¹(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.43988
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.313679
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.505338
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.711188
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.935972
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.18043
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.447198
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.739257
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.070696
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.439593
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.850717
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.913818
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.523029
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23844
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07242
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11075
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39244
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41569
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.6443
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.68008
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.327432
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.520177
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.72757
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.953751
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19979
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.468355
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.762337
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.097604
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.006398
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.452442
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.965466
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579042
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30228
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15474
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2106
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50672
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60364
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.31649
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.7726
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.341342
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.535186
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.744143
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.971744
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.219388
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.489779
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.786864
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637641
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.041035
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.491186
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.01776
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.638953
à(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36695
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23908
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31001
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63855
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89129
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.92945
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.82465
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.355408
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.550369
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.76091
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.989951
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.239223
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970761
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.302572
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.669132
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.076084
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.530429
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.070712
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.69964
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43244
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32457
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39547
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77251
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18598
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.59724
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.96007
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.369627
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.565721
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.777866
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.419168
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.692871
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996893
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331394
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.701031
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.111595
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.570168
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.124342
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761154
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49869
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40554
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48209
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90859
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43163
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.27135
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.14751
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.384001
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.683527
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192237
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.437941
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.716926
(333.28, 6.91, 314.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023297
