¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920901
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 12.2872
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 14.08601
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58312
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38512
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87692
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.168688
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.408205
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.668414
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.952084
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262436
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603313
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.979477
ğ(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.396422
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.223901
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.197349
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.172555
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.149497
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.467569
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.747035
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.819666
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.51937
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.49664
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 10.54358
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 10.5277
(401.94, 14.18, 244.08) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 12.31637
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72925
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.65733
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.77091
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174847
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414848
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.6757
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.960022
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.27114
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.612903
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.990047
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408235
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.874378
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.152345
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.127687
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.104752
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.083517
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.072683
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.100607
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.57173
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 12.00532
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 12.14842
(401.94, 14.18, 244.08) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 15.96925
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02621
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.72746
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.71717
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.70976
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.181039
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.421609
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.682999
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968002
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.279909
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622551
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.000721
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.420075
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.887667
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.647497
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.37756
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.348306
ğ(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.320873
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.295231
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.401707
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.62685
(401.94, 14.18, 244.08) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 11.6039
(401.94, 14.18, 244.08) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 14.16305
(401.94, 14.18, 244.08) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 15.39047
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17514
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.51415
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.50397
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.49663
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.187286
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.428382
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.690397
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.976075
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.288711
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.632282
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.01146
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.432008
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.900998
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.42348
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.709614
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.678984
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.650249
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.62338
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.725131
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.819227
(401.94, 14.18, 244.08) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 13.63543
(401.94, 14.18, 244.08) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 13.62015
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51994
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.45078
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.30967
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.2996
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.86794
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.193554
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.435188
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.6978
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.984178
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.297617
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642046
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.022271
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.444065
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.914481
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.439838
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.360111
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.038794
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.008623
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.980399
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 8.954091
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 10.17513
(401.94, 14.18, 244.08) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 13.13476
ë(401.94, 14.18, 244.08) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 14.20298
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96011
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.23526
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.11359
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.10362
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.67593
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.199893
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442057
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705261
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.992309
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.306536
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651901
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033171
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.456159
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.928022
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.456401
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03083
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.647596
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.399899
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.370173
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.342451
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 10.55968
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 10.74847
(401.94, 14.18, 244.08) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 13.75073
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76878
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 14.02889
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 13.92548
(401.94, 14.18, 244.08) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 13.91561
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.72679
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.72711
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.73225
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.74223
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.75703
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.77669
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.206248
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.448946
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.712769
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.00052
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315537
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.661815
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044145
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.468363
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.941681
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472954
(401.94, 14.18, 244.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0497
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 10.22143
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.828729
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.797333
(401.94, 14.18, 244.08) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 9.768033
