¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.976552
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.636405
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.987591
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.379542
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423586
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.018043
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722621
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57312
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65983
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99834
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72194
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95015
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.76783
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.10844
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.89877
› (379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.338779
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.552684
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.785621
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.040185
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.324446
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.641323
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.993067
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.385671
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.826598
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.017711
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.718092
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58232
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67106
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01231
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76408
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03574
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8846
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.20086
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.14137
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.339325
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.553277
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.786269
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.041557
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.328859
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.646211
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.998507
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.391761
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.83346
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.350289
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713215
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5909
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68155
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02537
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79694
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12075
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98624
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.29466
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.5507
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.339869
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.553869
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.786913
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.045537
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.333245
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.651067
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.003913
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.397816
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.848449
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.36843
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.964067
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59886
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69122
¢ (379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03749
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82854
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20514
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97828
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.39074
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.340412
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.554459
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.787557
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.049491
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.337605
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.655893
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.009287
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.404677
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.864311
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.386523
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.984897
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.691724
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70014
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05715
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85871
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28887
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1173
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.58015
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.340952
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.555047
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.791089
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.053414
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.341929
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.660684
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.014621
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.418644
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.880119
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.404563
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.005671
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.700166
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7083
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07935
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88756
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37185
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.54956
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.11971
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.341491
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.555632
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.794638
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.057312
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.346225
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.665443
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.021896
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.432561
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.895881
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.422552
 (379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.011456
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.708069
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69521
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10047
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91496
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45015
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.00106
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.4403
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.342028
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.558059
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.798162
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.061177
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.350487
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.670166
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.034226
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.446427
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.911587
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.437292
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.013434
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.715421
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70689
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93587
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94094
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50965
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.42762
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.7679
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.342562
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.561255
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.801655
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.065014
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.354718
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.677476
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.0465
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.460235
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.927227
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.43896
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.015345
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.72222
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71811
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95632
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98561
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56705
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.68507
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.01207
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.343894
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.564425
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.805122
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.06882
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.358913
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.688405
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.058716
ù(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.473983
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.934719
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.440567
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.017183
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.728464
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72803
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97562
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66998
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65797
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.94999
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.99506
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.346778
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.567568
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.80856
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.072593
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.365966
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.699278
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.070878
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.487664
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.936083
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.442117
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.018957
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.734152
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73725
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.99386
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.69662
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53979
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.95105
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.97928
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.349637
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.570682
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.811965
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.076334
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.375691
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.710092
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.082977
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.489823
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.937393
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.443605
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.020661
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.739275
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74577
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.011
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72188
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.23251
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.93886
(379.17, 9.90, 320.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.96469
