¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.704536
(393.00, 14.76, 307.58) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.3022
(393.00, 14.76, 307.58) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.33337
(393.00, 14.76, 307.58) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.36938
(393.00, 14.76, 307.58) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.41026
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.683345
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.676633
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.670849
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.665989
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.76046
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.875369
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278232
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715643
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.213791
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.686539
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20103
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81325
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.506
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04905
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45245
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00263
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63447
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29274
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72495
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56154
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74003
(393.00, 14.76, 307.58) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.48519
(393.00, 14.76, 307.58) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.52175
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.651108
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.644329
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.638473
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.633533
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498876
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872585
Ï(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.275251
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712351
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.213562
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.686147
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18145
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7912
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45796
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97459
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39512
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85841
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48269
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11239
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53333
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05653
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15999
(393.00, 14.76, 307.58) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.6437
(393.00, 14.76, 307.58) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 24.68085
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.620134
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.613292
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.607366
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.602353
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496329
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.869784
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.272339
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.711407
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.213288
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.686246
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16344
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76952
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39171
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90207
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33976
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75958
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33335
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93855
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34878
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80632
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40999
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47567
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.590387
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.583486
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.577497
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.572413
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495398
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866946
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.269451
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.711177
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.213054
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.686729
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16399
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74823
É(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32712
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83142
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28642
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70243
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18424
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77094
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.171
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59789
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15001
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78554
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.561833
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.554876
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.548826
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.55009
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495231
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.864067
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.266607
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710953
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212795
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.687643
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16499
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72737
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26422
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76262
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23499
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64732
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09112
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60936
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99967
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41591
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90092
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51507
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67179
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.534441
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.527432
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.521325
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.549995
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495059
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861166
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.263803
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710711
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212555
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.689003
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16649
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7069
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20293
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69563
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18549
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59435
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03424
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45352
Ä(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83453
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24067
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67433
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25615
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91632
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.562129
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.539577
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.518121
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.549901
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494903
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.859054
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.262114
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.71051
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212307
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.690752
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16843
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69785
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14325
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63047
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13782
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54336
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97953
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35635
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6754
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07187
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49493
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00813
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63404
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04877
(393.00, 14.76, 307.58) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 4.710973
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587049
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862849
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.164197
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494735
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858874
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.261944
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710288
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.212031
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.692969
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17085
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67583
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08512
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56699
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09202
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49434
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92696
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2646
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57388
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90921
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32223
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77041
»(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37608
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41425
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.333627
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586953
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862699
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16403
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494582
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858718
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.261705
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710069
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211811
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.695579
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17377
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64975
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04081
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50526
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02748
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44729
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87655
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17616
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48364
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80242
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15591
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58666
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12904
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15036
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45127
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.333538
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586792
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862558
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163888
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494413
(393.00, 14.76, 307.58) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 6.220704
(393.00, 14.76, 307.58) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 6.18816
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.709844
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211538
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698654
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17712
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62468
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01973
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4452
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96174
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40219
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80185
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09091
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.396
(393.00, 14.76, 307.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71125
