¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678669
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.428344
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.690581
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.976495
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289438
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.633345
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.012965
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.434005
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.901384
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.894156
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.868411
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.844358
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.821972
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.55696
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.538439
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.521471
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.50604
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.962314
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.483458
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.189803
(332.60, 7.34, 376.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.3572
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.45194
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.345885
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.453013
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.71724
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.303713
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.30306
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.30383
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189659
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431149
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.693619
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.979854
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293093
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637371
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.017407
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.438976
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904307
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.945264
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.912344
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.881228
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.869627
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.610382
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.591719
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.574622
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.559072
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.943167
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.543387
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.162018
(332.60, 7.34, 376.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.1899
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.00648
Ğ(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.987868
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.158921
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.471303
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.355227
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.354559
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.355325
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192266
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.433987
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.696716
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983209
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296823
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.641438
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.021901
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.263641
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.908406
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.87408
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.848043
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.823698
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.804033
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.666073
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.647264
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.63003
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.614354
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.924399
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.605861
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.134816
(332.60, 7.34, 376.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.02834
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.600039
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.658386
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.886363
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.411057
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.408928
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.408245
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.409006
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.194911
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.436861
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.699809
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986603
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.300534
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.645571
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.02644
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.995632
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.957941
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.92214
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.893598
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.869102
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.851018
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.724106
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.705143
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.687767
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.671963
Ğ(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.906008
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.670961
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.108191
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.30764
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.227803
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.354236
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.633122
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.467041
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.464885
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.464186
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.464942
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.19757
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.439746
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702952
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990064
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.304294
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649702
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.031078
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.050911
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.009705
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.973607
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.941251
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.916594
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.900107
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.784558
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.765435
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.747912
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.731971
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.887993
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.738773
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.082139
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.882998
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.885711
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.072673
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.529007
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.525355
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.523171
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.522456
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.523206
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.808455
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442656
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706159
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.993516
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.308119
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.653888
(332.60, 7.34, 376.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.035702
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.113649
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.069805
(332.60, 7.34, 376.16) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.029198
