¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ï(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.91967
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.213097
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.443751
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675775
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.89902
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.139105
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.398038
„ (404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.678001
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05447
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.25917
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.231089
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.204794
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.180256
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.15745
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.136353
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.116941
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.099198
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.083104
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.068645
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.055806
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.044572
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.034935
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.026882
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.020408
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.015508
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.012171
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.0104
(404.22, 14.26, 244.38) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 10.53698
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.993392
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.206488
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.436609
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.685787
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.919526
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161189
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.421839
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.703721
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118869
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.190604
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.162781
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.136724
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.112413
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.089818
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.068917
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.049688
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.032115
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.016176
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.001858
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.989146
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.978025
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.968489
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.960525
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.954125
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.949284
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.945998
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.944263
(404.22, 14.26, 244.38) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 10.47897
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.987405
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.200017
ı(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429609
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678194
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940495
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183713
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446146
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737622
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.184374
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.124749
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.097171
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.071346
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.047251
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.024858
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.004148
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.985093
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.967681
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.951891
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.937708
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.925117
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.914107
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.904666
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.896787
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.890459
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.885677
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.882436
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.880734
(404.22, 14.26, 244.38) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 10.42361
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.981536
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.193682
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422782
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670787
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940155
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.206794
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.47103
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.796833
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.2509
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.06151
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.034167
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.008565
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.984677
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.962479
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.941948
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.923063
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.905805
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.890158
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.876103
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.86363
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.852726
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.843377
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.835576
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.829316
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.82459
ü(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.821395
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.819725
(404.22, 14.26, 244.38) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 10.37085
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.975764
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.187485
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.416082
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.663529
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.932253
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.225025
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496432
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.856961
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.029679
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 8.000806
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.97369
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.948298
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.924609
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.902596
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.882239
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.863515
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.846406
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.830894
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.816964
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.804604
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.793798
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.784538
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.776814
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.77062
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.765948
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.762794
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.761155
(404.22, 14.26, 244.38) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 10.32062
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.970142
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.18143
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.409517
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.656418
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.924507
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.216605
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.522414
(404.22, 14.26, 244.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.84348
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.971197
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.942552
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.91565
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.890464
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.866966
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.845132
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.82494
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.80637
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.789403
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.774022
(404.22, 14.26, 244.38) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.760211
