¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.958736
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.063583
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.049306
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.945731
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.93021
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.916103
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.903398
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.89208
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.215906
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.807283
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.001783
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.667088
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.700775
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.911494
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.254795
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.739766
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.503305
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.696286
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.902443
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123127
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.176581
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.139133
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.103454
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.07357
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.048441
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.02872
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.014089
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.91872
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.903248
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.889185
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.876517
Ø(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.865232
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.223994
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.776847
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.970573
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.092956
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.234461
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.525428
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.930062
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.488233
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.6802
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885283
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104771
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.145918
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.108665
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.07317
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.043353
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.016604
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.997838
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.98513
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.89325
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.877825
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.863802
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.851171
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.839917
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.231709
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.748149
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.941146
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.524299
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.586657
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.818474
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.177736
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.473495
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66449
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868534
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.086833
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.119476
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.082512
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.047432
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.018174
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.99116
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.973129
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.960723
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.869294
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.853911
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.839928
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.827331
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.816105
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.23905
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.721158
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.913468
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.972154
Ó(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.13677
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.445026
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459115
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649202
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852184
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.069358
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.098909
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.062077
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.026987
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.99839
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.973961
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.955204
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.940485
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.846826
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.831484
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.817538
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.804972
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.793775
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.246006
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.695845
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.933839
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.395809
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.483646
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.734294
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.445071
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634255
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836246
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.081354
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.079868
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.043153
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.012014
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.98281
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.958793
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.939043
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.926518
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.825823
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.81052
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.796607
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.784071
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.772899
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.25258
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.672183
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.039574
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.863046
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.048294
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431404
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.619677
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.820706
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115853
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.063221
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.030798
Õ(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.000029
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.970881
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.948818
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.928981
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.915031
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.806264
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.790997
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.777116
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.764608
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.75346
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.258767
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.650148
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.147943
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.279665
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.390254
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.418046
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605481
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851573
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150689
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.478599
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.020173
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.989456
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.961688
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.940395
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.920578
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.904901
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.788128
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.772893
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.759043
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.74656
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.735435
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.264562
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.629719
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.259041
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.764017
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405056
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607227
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.883732
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.185876
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.517295
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882343
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.286372
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.954607
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.933332
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.913533
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.896117
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.771398
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.756194
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.74237
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.729912
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.718808
²(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.269964
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.610874
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.152514
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.174123
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.392401
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636971
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9162
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221429
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556354
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.925475
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.334229
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.78926
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.098577
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.071538
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.046706
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.756056
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.740881
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.727083
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.714645
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.70356
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.274969
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.593594
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.160397
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.408207
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666996
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94895
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257285
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.595815
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.96906
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.382663
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801499
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.137576
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.053856
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.029067
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.068157
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.155492
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.137709
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.121401
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.106549
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.279574
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 7.577863
(362.90, 7.09, 351.53) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 8.167651
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.436067
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.697259
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293509
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635673
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.013158
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43164
(362.90, 7.09, 351.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.780238
