°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã (383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37512
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.067296
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.263267
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.773419
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.65997
Ô (383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.86615
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33358
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.30145
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.78989
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.531507
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.630017
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.734929
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.846859
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.9665
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.097035
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.237393
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.388596
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.551909
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.768739
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.08994
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.473703
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.725244
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.002223
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.308657
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649457
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.005051
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.22256
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.575412
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.092679
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.783171
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.671815
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.87126
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31523
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.27063
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.83256
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.532748
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.631335
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.736331
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.848351
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.968095
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.098121
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.238561
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.389852
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.553265
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.730272
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.922596
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.134475
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.370442
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.630295
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.928329
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.269647
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.609537
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.030215
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.512041
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.096763
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.793873
Ö!(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.684807
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.87577
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.29848
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.24199
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.88005
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.534169
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.632843
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.737936
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.850062
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.969922
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.099446
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.239983
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.391384
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.554918
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.732061
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.924541
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.135914
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.372022
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.632037
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.919712
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.23964
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.611696
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.032663
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.516272
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.101685
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.805528
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.71392
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.8817
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28331
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.21551
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.9324
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.535772
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.634545
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.739745
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.85199
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.97198
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.101009
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.241662
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.393191
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.55687
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.734176
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.926836
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.137722
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.374003
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.634218
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.922129
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.242332
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.614442
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.035774
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.521224
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.107448
Ñ!(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.818139
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.744753
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.88908
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.26975
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.19408
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.51297
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.537553
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.636437
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.741758
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.854136
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.974272
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.102963
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.243597
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.395275
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.559119
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.736611
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.929483
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.139893
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.376386
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.636844
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.925036
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.245568
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.617773
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.03955
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.526901
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.114052
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.831709
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.776807
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.8979
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25775
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.1771
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.68315
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.539516
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.638522
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.743976
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.8565
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.976796
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.105665
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.245789
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.397634
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.561667
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.73937
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.93248
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.143043
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.37917
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.639913
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.928435
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.249352
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.621692
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.043991
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.533304
£!(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.121504
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.846246
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.810099
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.90817
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24732
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.16234
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.541661
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.640799
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.746399
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.859082
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.979555
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.108616
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.248237
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.400271
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.564513
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.742454
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.935829
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.146695
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.382358
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.643425
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.932324
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.253682
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.626194
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.049098
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.540434
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.129802
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.861754
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.844656
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.91989
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.2492
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.14981
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.543986
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.643269
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.749027
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.861883
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 3.982545
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.111818
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.250942
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.403184
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.567659
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.745861
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.939533
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.150731
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.385947
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.647381
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.936706
(383.24, 11.08, 322.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.258562
